position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
1,Atlético Madrid,30,17,6,7,87,50,+37,40,1950-51
2,Sevilla,30,17,4,9,79,46,+33,38,1950-51
3,Valencia,30,17,3,10,64,48,+16,37,1950-51
4,Barcelona,30,16,3,11,83,61,+22,35,1950-51
5,Real Sociedad,30,15,5,10,77,56,+21,35,1950-51
6,Valladolid,30,14,5,11,51,51,0,33,1950-51
7,Atlético Bilbao,30,15,3,12,88,56,+32,33,1950-51
8,Celta,30,15,3,12,62,56,+6,33,1950-51
9,Real Madrid,30,13,5,12,80,71,+9,31,1950-51
10,Real Santander,30,12,6,12,49,60,−11,30,1950-51
11,Español,30,13,4,13,82,72,+10,30,1950-51
12,Deportivo La Coruña,30,13,4,13,64,47,+17,30,1950-51
13,Málaga,30,12,5,13,55,52,+3,29,1950-51
14,Murcia,30,8,3,19,40,86,−46,19,1950-51
15,Alcoyano,30,6,2,22,36,92,−56,14,1950-51
16,Lérida,30,6,1,23,41,134,−93,13,1950-51
1,Barcelona,30,19,5,6,92,43,+49,43,1951-52
2,Atlético Bilbao,30,17,6,7,78,46,+32,40,1951-52
3,Real Madrid,30,16,6,8,79,50,+29,38,1951-52
4,Atlético Madrid,30,16,5,9,80,57,+23,37,1951-52
5,Valencia,30,15,5,10,68,51,+17,35,1951-52
6,Sevilla,30,14,4,12,69,57,+12,32,1951-52
7,Español,30,14,4,12,69,62,+7,32,1951-52
8,Valladolid,30,9,11,10,47,43,+4,29,1951-52
9,Celta,30,12,3,15,64,66,−2,27,1951-52
10,Real Sociedad,30,11,4,15,60,59,+1,26,1951-52
11,Deportivo La Coruña,30,10,5,15,46,70,−24,25,1951-52
12,Zaragoza,30,10,5,15,54,73,−19,25,1951-52
13,Real Gijón,30,10,5,15,49,75,−26,25,1951-52
14,Real Santander,30,9,7,14,45,65,−20,25,1951-52
15,Las Palmas,30,9,4,17,36,85,−49,22,1951-52
16,Atlético Tetuán,30,7,5,18,51,85,−34,19,1951-52
1,Barcelona,30,19,4,7,82,43,+39,42,1952-53
2,Valencia,30,16,8,6,66,42,+24,40,1952-53
3,Real Madrid,30,18,3,9,67,49,+18,39,1952-53
4,Español,30,16,4,10,64,40,+24,36,1952-53
5,Sevilla,30,16,2,12,70,57,+13,34,1952-53
6,Atlético Bilbao,30,14,4,12,83,52,+31,32,1952-53
7,Real Gijón,30,11,8,11,39,54,−15,30,1952-53
8,Atlético Madrid,30,13,4,13,65,70,−5,30,1952-53
9,Oviedo,30,12,5,13,63,62,+1,29,1952-53
10,Real Sociedad,30,10,8,12,54,61,−7,28,1952-53
11,Real Santander,30,11,5,14,46,61,−15,27,1952-53
12,Valladolid,30,10,5,15,48,54,−6,25,1952-53
13,Celta,30,10,5,15,54,69,−15,25,1952-53
14,Deportivo La Coruña,30,9,6,15,49,78,−29,24,1952-53
15,Málaga,30,10,2,18,47,69,−22,22,1952-53
16,Zaragoza,30,6,5,19,38,74,−36,17,1952-53
1,Real Madrid,30,17,6,7,72,41,+31,40,1953-54
2,Barcelona,30,16,4,10,74,39,+35,36,1953-54
3,Valencia,30,14,6,10,69,51,+18,34,1953-54
4,Español,30,14,6,10,50,36,+14,34,1953-54
5,Sevilla,30,15,2,13,57,49,+8,32,1953-54
6,Atlético Bilbao,30,12,8,10,54,44,+10,32,1953-54
7,Deportivo La Coruña,30,13,5,12,41,46,−5,31,1953-54
8,Real Santander,30,12,7,11,53,61,−8,31,1953-54
9,Real Sociedad,30,11,7,12,44,58,−14,29,1953-54
10,Celta,30,12,5,13,47,54,−7,29,1953-54
11,Atlético Madrid,30,11,7,12,57,47,+10,29,1953-54
12,Valladolid,30,12,5,13,50,60,−10,29,1953-54
13,Osasuna,30,12,4,14,46,54,−8,28,1953-54
14,Jaén,30,11,6,13,55,70,−15,28,1953-54
15,Oviedo,30,8,6,16,31,53,−22,22,1953-54
16,Real Gijón,30,7,2,21,44,81,−37,16,1953-54
1,Real Madrid,30,20,6,4,80,31,+49,46,1954-55
2,Barcelona,30,17,7,6,75,39,+36,41,1954-55
3,Atlético Bilbao,30,15,9,6,78,39,+39,39,1954-55
4,Sevilla,30,15,4,11,74,58,+16,34,1954-55
5,Valencia,30,15,3,12,71,60,+11,33,1954-55
6,Hércules,30,11,9,10,46,57,−11,31,1954-55
7,Deportivo La Coruña,30,12,6,12,52,59,−7,30,1954-55
8,Atlético Madrid,30,11,7,12,59,64,−5,29,1954-55
9,Valladolid,30,11,5,14,48,56,−8,27,1954-55
