position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points
1,Real Madrid,38,24,8,6,81,40,+41,80
2,Deportivo La Coruña,38,22,7,9,73,44,+29,73
3,Mallorca,38,20,11,7,61,43,+18,71
4,Barcelona,38,17,12,9,80,57,+23,63
5,Valencia,38,18,9,11,55,34,+21,63
6,Celta de Vigo,38,16,11,11,51,49,+2,59
7,Villarreal,38,16,9,13,58,52,+6,57
8,Málaga,38,16,8,14,60,61,−1,56
9,Espanyol,38,14,8,16,46,44,+2,50
10,Alavés,38,14,7,17,58,59,−1,49
11,Las Palmas,38,13,7,18,42,62,−20,46
12,Athletic Bilbao,38,11,10,17,44,60,−16,43
13,Real Sociedad,38,11,10,17,52,68,−16,43
14,Rayo Vallecano,38,10,13,15,56,68,−12,43
15,Osasuna,38,10,12,16,43,54,−11,42
16,Valladolid,38,9,15,14,42,50,−8,42
17,Zaragoza,38,9,15,14,54,57,−3,42
18,Oviedo,38,11,8,19,51,67,−16,41
19,Racing Santander,38,10,9,19,48,62,−14,39
20,Numancia,38,10,9,19,40,64,−24,39
