position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points
1,Barcelona,38,25,6,7,91,42,+49,56
2,Deportivo La Coruña,38,22,12,4,54,18,+36,56
3,Zaragoza,38,19,8,11,71,47,+24,46
4,Real Madrid,38,19,7,12,61,50,+11,45
5,Athletic Bilbao,38,16,11,11,61,47,+14,43
6,Sevilla,38,15,12,11,56,42,+14,42
7,Valencia,38,14,12,12,55,50,+5,40
8,Racing Santander,38,15,8,15,44,42,+2,38
9,Oviedo,38,12,13,13,43,49,−6,37
10,Tenerife,38,15,6,17,50,57,−7,36
11,Real Sociedad,38,12,12,14,39,47,−8,36
12,Atlético Madrid,38,13,9,16,54,54,0,35
13,Albacete,38,10,15,13,49,58,−9,35
14,Sporting Gijón,38,15,5,18,42,57,−15,35
15,Celta de Vigo,38,11,11,16,41,51,−10,33
16,Logroñés,38,9,15,14,47,58,−11,33
17,Rayo Vallecano,38,9,13,16,40,58,−18,31
18,Valladolid,38,8,14,16,28,51,−23,30
19,Lleida,38,7,13,18,29,48,−19,27
20,Osasuna,38,8,10,20,34,63,−29,26
