position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
4,Barcelona,30.0,16,3,11,83,61,22,35,1950-51
1,Barcelona,30.0,19,5,6,92,43,49,43,1951-52
1,Barcelona,30.0,19,4,7,82,43,39,42,1952-53
2,Barcelona,30.0,16,4,10,74,39,35,36,1953-54
2,Barcelona,30.0,17,7,6,75,39,36,41,1954-55
2,Barcelona,30.0,22,3,5,67,26,41,47,1955-56
3,Barcelona,30.0,16,7,7,70,37,33,39,1956-57
3,Barcelona,30.0,17,4,9,69,38,31,38,1957-58
1,Barcelona,30.0,24,3,3,96,26,70,51,1958-59
1,Barcelona,30.0,22,2,6,86,28,58,46,1959-60
4,Barcelona,30.0,13,6,11,62,47,15,32,1960-61
2,Barcelona,30.0,18,4,8,81,46,35,40,1961-62
6,Barcelona,30.0,11,9,10,45,36,9,31,1962-63
2,Barcelona,30.0,19,4,7,74,38,36,42,1963-64
6,Barcelona,30.0,14,4,12,59,41,18,32,1964-65
3,Barcelona,30.0,16,6,8,51,27,24,38,1965-66
2,Barcelona,30.0,20,2,8,58,29,29,42,1966-67
2,Barcelona,30.0,15,9,6,48,29,19,39,1967-68
3,Barcelona,30.0,13,10,7,40,18,22,36,1968-69
4,Barcelona,30.0,13,9,8,40,31,9,35,1969-70
2,Barcelona,30.0,19,5,6,50,22,28,43,1970-71
3,Barcelona,34.0,17,9,8,40,26,14,43,1971-72
2,Barcelona,34.0,18,10,6,41,21,20,46,1972-73
1,Barcelona,34.0,21,8,5,75,24,51,50,1973-74
3,Barcelona,34.0,15,7,12,57,36,21,37,1974-75
2,Barcelona,34.0,18,7,9,61,41,20,43,1975-76
2,Barcelona,34.0,18,9,7,69,34,35,45,1976-77
2,Barcelona,34.0,16,9,9,49,29,20,41,1977-78
5,Barcelona,34.0,16,6,12,69,37,32,38,1978-79
4,Barcelona,34.0,13,12,9,42,33,9,38,1979-80
5,Barcelona,34.0,18,5,11,66,41,25,41,1980-81
2,Barcelona,34.0,19,7,8,75,40,35,45,1981-82
4,Barcelona,34.0,17,10,7,60,29,31,44,1982-83
3,Barcelona,34.0,20,8,6,62,28,34,48,1983-84
1,Barcelona,34.0,21,11,2,69,25,44,53,1984-85
2,Barcelona,34.0,18,9,7,61,36,25,45,1985-86
6,Barcelona,38.0,15,9,14,49,44,5,39,1987-88
2,Barcelona,38.0,23,11,4,80,26,54,57,1988-89
3,Barcelona,38.0,23,5,10,83,39,44,51,1989-90
1,Barcelona,38.0,25,7,6,74,33,41,57,1990-91
1,Barcelona,38.0,23,9,6,87,37,50,55,1991-92
1,Barcelona,38.0,25,8,5,87,34,53,58,1992-93
1,Barcelona,38.0,25,6,7,91,42,49,56,1993-94
4,Barcelona,38.0,18,10,10,60,45,15,46,1994-95
3,Barcelona,42.0,22,14,6,72,39,33,80,1995-96
2,Barcelona,42.0,28,6,8,102,48,54,90,1996-97
1,Barcelona,38.0,23,5,10,78,56,22,74,1997-98
1,Barcelona,38.0,24,7,7,87,43,44,79,1998-99
2,Barcelona,38.0,19,7,12,70,46,24,64,1999-2000
4,Barcelona,38.0,17,12,9,80,57,23,63,2000-01
4,Barcelona,38.0,18,10,10,65,37,28,64,2001-02
6,Barcelona,38.0,15,11,12,63,47,16,56,2002-03
2,Barcelona,38.0,21,9,8,63,39,24,72,2003-04
1,Barcelona,38.0,25,9,4,73,29,44,84,2004-05
1,Barcelona,38.0,25,7,6,80,35,45,82,2005-06
2,Barcelona,38.0,22,10,6,78,33,45,76,2006-07
3,Barcelona,38.0,19,10,9,76,43,33,67,2007-08
1,Barcelona,38.0,27,6,5,105,35,70,87,2008-09
1,Barcelona,38.0,31,6,1,98,24,74,99,2009-10
1,Barcelona,38.0,30,6,2,95,21,74,96,2010-11
2,Barcelona,38.0,28,7,3,114,29,85,91,2011-12
1,Barcelona,38.0,32,4,2,115,40,75,100,2012-13
2,Barcelona,38.0,27,6,5,100,33,67,87,2013-14
1,Barcelona,38.0,30,4,4,110,21,89,94,2014-15
1,Barcelona,38.0,29,4,5,112,29,83,91,2015-16
2,Barcelona,38.0,28,6,4,116,37,79,90,2016-17
1,Barcelona,38.0,28,9,1,99,29,70,93,2017-18
1,Barcelona,38.0,26,9,3,90,36,54,87,2018-19
2,Barcelona,38.0,25,7,6,86,38,48,82,2019-20
3,Barcelona,38.0,24,7,7,85,38,47,79,2020-21
2,Barcelona,38.0,21,10,7,68,38,30,73,2021-22
