position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
10,Elche,30.0,11,5,14,41,64,−23,27,1959-60
14,Elche,30.0,9,7,14,48,75,−27,25,1960-61
8,Elche,30.0,10,9,11,52,52,0,29,1961-62
8,Elche,30.0,11,7,12,48,59,−11,29,1962-63
5,Elche,30.0,13,7,10,35,31,+4,33,1963-64
8,Elche,30.0,14,3,13,38,43,−5,31,1964-65
6,Elche,30.0,12,8,10,36,37,−1,32,1965-66
9,Elche,30.0,9,9,12,41,50,−9,27,1966-67
10,Elche,30.0,9,9,12,29,37,−8,27,1967-68
9,Elche,30.0,7,15,8,25,23,+2,29,1968-69
11,Elche,30.0,8,10,12,32,44,−12,26,1969-70
15,Elche,30.0,4,10,16,25,46,−21,18,1970-71
14,Elche,34.0,11,7,16,25,33,−8,29,1973-74
8,Elche,34.0,13,8,13,35,44,−9,34,1974-75
15,Elche,34.0,8,12,14,38,49,−11,28,1975-76
11,Elche,34.0,11,11,12,45,47,−2,33,1976-77
17,Elche,34.0,11,5,18,44,66,−22,27,1977-78
17,Elche,34.0,6,14,14,18,37,−19,26,1984-85
20,Elche,38.0,4,7,27,29,71,−42,15,1988-89
16,Elche,38.0,9,13,16,30,50,−20,40,2013-14
13,Elche,,[d],38,11,8,19,35,62,2014-15
17,Elche,38.0,8,12,18,34,55,−21,36,2020-21
13,Elche,38.0,11,9,18,40,52,−12,42,2021-22
