position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
18,Villarreal,38.0,8,12,18,47,63,−16,36,1998-99
7,Villarreal,38.0,16,9,13,58,52,+6,57,2000-01
15,Villarreal,38.0,11,10,17,46,55,−9,43,2001-02
15,Villarreal,38.0,11,12,15,44,53,−9,45,2002-03
8,Villarreal,38.0,15,9,14,47,49,−2,54,2003-04
3,Villarreal,38.0,18,11,9,69,37,+32,65,2004-05
7,Villarreal,38.0,14,15,9,50,39,+11,57,2005-06
5,Villarreal,38.0,18,8,12,48,44,+4,62,2006-07
2,Villarreal,38.0,24,5,9,63,40,+23,77,2007-08
5,Villarreal,38.0,18,11,9,61,54,+7,65,2008-09
7,Villarreal,38.0,16,8,14,58,57,+1,56,2009-10
4,Villarreal,38.0,18,8,12,54,44,+10,62,2010-11
18,Villarreal,38.0,9,14,15,39,53,−14,41,2011-12
6,Villarreal,38.0,17,8,13,60,44,+16,59,2013-14
6,Villarreal,38.0,16,12,10,48,37,+11,60,2014-15
4,Villarreal,38.0,18,10,10,44,35,+9,64,2015-16
5,Villarreal,38.0,19,10,9,56,33,+23,67,2016-17
5,Villarreal,38.0,18,7,13,57,50,+7,61,2017-18
14,Villarreal,38.0,10,14,14,49,52,−3,44,2018-19
5,Villarreal,38.0,18,6,14,63,49,+14,60,2019-20
7,Villarreal,38.0,15,13,10,60,44,+16,58,2020-21
7,Villarreal,38.0,16,11,11,63,37,+26,59,2021-22
