Home,Away,Score
Albacete Balompié,Athletic Bilbao,4–0
Albacete Balompié,Atlético Madrid,3–1
Albacete Balompié,FC Barcelona,1–1
Albacete Balompié,Cádiz CF,0–1
Albacete Balompié,Deportivo de La Coruña,3–0
Albacete Balompié,RCD Espanyol,3–2
Albacete Balompié,CD Logroñés,2–0
Albacete Balompié,RCD Mallorca,1–0
Albacete Balompié,CA Osasuna,1–0
Albacete Balompié,Real Burgos CF,1–0
Albacete Balompié,Real Madrid C.F.,1–3
Albacete Balompié,Real Oviedo,2–0
Albacete Balompié,Real Sociedad,0–1
Albacete Balompié,Sevilla FC,0–0
Albacete Balompié,Sporting de Gijón,0–2
Albacete Balompié,CD Tenerife,1–1
Albacete Balompié,Valencia CF,1–0
Albacete Balompié,Real Valladolid,3–1
Albacete Balompié,Real Zaragoza,1–1
Athletic Bilbao,Albacete Balompié,1–0
Athletic Bilbao,Atlético Madrid,3–2
Athletic Bilbao,FC Barcelona,0–2
Athletic Bilbao,Cádiz CF,3–1
Athletic Bilbao,Deportivo de La Coruña,0–0
Athletic Bilbao,RCD Espanyol,0–2
Athletic Bilbao,CD Logroñés,1–2
Athletic Bilbao,RCD Mallorca,2–0
Athletic Bilbao,CA Osasuna,2–1
Athletic Bilbao,Real Burgos CF,0–0
Athletic Bilbao,Real Madrid C.F.,1–4
Athletic Bilbao,Real Oviedo,0–0
Athletic Bilbao,Real Sociedad,2–1
Athletic Bilbao,Sevilla FC,0–2
Athletic Bilbao,Sporting de Gijón,2–0
Athletic Bilbao,CD Tenerife,3–1
Athletic Bilbao,Valencia CF,2–3
Athletic Bilbao,Real Valladolid,2–0
Athletic Bilbao,Real Zaragoza,1–0
Atlético Madrid,Albacete Balompié,4–1
Atlético Madrid,Athletic Bilbao,3–1
Atlético Madrid,FC Barcelona,2–2
Atlético Madrid,Cádiz CF,5–1
Atlético Madrid,Deportivo de La Coruña,1–2
Atlético Madrid,RCD Espanyol,3–0
Atlético Madrid,CD Logroñés,2–1
Atlético Madrid,RCD Mallorca,3–0
Atlético Madrid,CA Osasuna,1–0
Atlético Madrid,Real Burgos CF,2–0
Atlético Madrid,Real Madrid C.F.,2–0
Atlético Madrid,Real Oviedo,3–1
Atlético Madrid,Real Sociedad,5–1
Atlético Madrid,Sevilla FC,0–3
Atlético Madrid,Sporting de Gijón,2–1
Atlético Madrid,CD Tenerife,1–0
Atlético Madrid,Valencia CF,1–0
Atlético Madrid,Real Valladolid,5–1
Atlético Madrid,Real Zaragoza,2–1
FC Barcelona,Albacete Balompié,7–1
FC Barcelona,Athletic Bilbao,2–0
FC Barcelona,Atlético Madrid,1–0
FC Barcelona,Cádiz CF,4–1
FC Barcelona,Deportivo de La Coruña,4–1
FC Barcelona,RCD Espanyol,4–3
FC Barcelona,CD Logroñés,1–0
FC Barcelona,RCD Mallorca,3–0
FC Barcelona,CA Osasuna,2–0
FC Barcelona,Real Burgos CF,1–1
FC Barcelona,Real Madrid C.F.,1–1
FC Barcelona,Real Oviedo,1–2
FC Barcelona,Real Sociedad,2–0
FC Barcelona,Sevilla FC,1–0
FC Barcelona,Sporting de Gijón,1–1
FC Barcelona,CD Tenerife,5–3
FC Barcelona,Valencia CF,3–1
FC Barcelona,Real Valladolid,2–1
FC Barcelona,Real Zaragoza,3–1
Cádiz CF,Albacete Balompié,1–1
Cádiz CF,Athletic Bilbao,1–0
Cádiz CF,Atlético Madrid,1–1
Cádiz CF,FC Barcelona,0–2
Cádiz CF,Deportivo de La Coruña,1–0
Cádiz CF,RCD Espanyol,2–1
Cádiz CF,CD Logroñés,2–0
Cádiz CF,RCD Mallorca,1–3
Cádiz CF,CA Osasuna,2–2
Cádiz CF,Real Burgos CF,0–2
Cádiz CF,Real Madrid C.F.,0–1
Cádiz CF,Real Oviedo,3–1
Cádiz CF,Real Sociedad,0–0
Cádiz CF,Sevilla FC,1–1
Cádiz CF,Sporting de Gijón,1–1
Cádiz CF,CD Tenerife,0–0
Cádiz CF,Valencia CF,2–0
Cádiz CF,Real Valladolid,0–0
Cádiz CF,Real Zaragoza,0–0
Deportivo de La Coruña,Albacete Balompié,2–2
Deportivo de La Coruña,Athletic Bilbao,0–0
Deportivo de La Coruña,Atlético Madrid,1–1
Deportivo de La Coruña,FC Barcelona,0–4
Deportivo de La Coruña,Cádiz CF,1–1
Deportivo de La Coruña,RCD Espanyol,2–2
Deportivo de La Coruña,CD Logroñés,2–2
Deportivo de La Coruña,RCD Mallorca,1–0
