position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points
1,Real Madrid,34,19,9,6,51,27,+24,47
2,Valencia,34,19,7,8,53,30,+23,45
3,Barcelona,34,17,9,8,40,26,+14,43
4,Atlético Madrid,34,14,11,9,45,28,+17,39
5,Las Palmas,34,15,8,11,40,36,+4,38
6,Granada,34,14,8,12,40,34,+6,36
7,Málaga,34,9,17,8,27,31,−4,35
8,Real Sociedad,34,14,6,14,38,36,+2,34
9,Athletic Bilbao,34,15,4,15,39,32,+7,34
10,Celta,34,10,13,11,37,42,−5,33
11,Sporting Gijón,34,12,8,14,41,37,+4,32
12,Español,34,12,8,14,43,43,0,32
13,Real Betis,34,10,10,14,25,45,−20,30
14,Deportivo La Coruña,34,11,8,15,28,38,−10,30
15,Burgos,34,11,7,16,34,42,−8,29
16,Sevilla,34,9,9,16,35,45,−10,27
17,Sabadell,34,6,13,15,32,51,−19,25
18,Córdoba,34,7,9,18,27,52,−25,23
