position,team,played,won,lost,drawn,goals_for,goals_against,goal_difference,points
1,Barcelona,38,0.41028608035636227,0.07338671304134349,0.09254896267654951,112,29,+83,0.3680201279316404
2,Real Madrid,38,0.39613828448200494,0.058709370433074795,0.13882344401482424,110,34,+76,0.3639759507016224
3,Atlético Madrid,38,0.39613828448200494,0.08806405564961219,0.09254896267654951,63,18,+45,0.35588759624158633
4,Villarreal,38,0.2546603257384317,0.14677342608268698,0.23137240669137377,44,35,+9,0.2588273427211537
5,Athletic Bilbao,38,0.2546603257384317,0.17612811129922437,0.18509792535309902,58,45,+13,0.2507389882611176
6,Celta Vigo,38,0.24051252986407443,0.17612811129922437,0.20823516602223638,51,59,−8,0.2426506338010816
7,Sevilla,38,0.19806914224100247,0.2054827965157618,0.23137240669137377,51,50,+1,0.2102972159609374
8,Málaga,38,0.16977355049228784,0.2054827965157618,0.2776468880296485,38,35,+3,0.19412050704086528
9,Real Sociedad,38,0.18392134636664514,0.23483748173229918,0.20823516602223638,45,48,−3,0.19412050704086528
10,Real Betis,38,0.15562575461793052,0.22016013912403049,0.2776468880296485,34,52,−18,0.1819879753508112
11,Las Palmas,38,0.16977355049228784,0.26419216694883657,0.18509792535309902,45,53,−8,0.17794379812079317
12,Valencia,38,0.15562575461793052,0.23483748173229918,0.2545096473605111,46,48,−2,0.17794379812079317
13,Espanyol,38,0.16977355049228784,0.27886950955710527,0.16196068468396163,40,74,−34,0.17389962089077515
14,Eibar,38,0.15562575461793052,0.24951482434056788,0.23137240669137377,49,61,−12,0.17389962089077515
15,Deportivo La Coruña,38,0.11318236699485855,0.17612811129922437,0.41647033204447276,45,61,−16,0.1698554436607571
16,Granada,38,0.1414779587435732,0.27886950955710527,0.20823516602223638,46,69,−23,0.15772291197070304
17,Sporting Gijón,38,0.1414779587435732,0.27886950955710527,0.20823516602223638,40,62,−22,0.15772291197070304
18,Rayo Vallecano,38,0.12733016286921586,0.26419216694883657,0.2545096473605111,52,73,−21,0.153678734740685
19,Getafe,38,0.12733016286921586,0.29354685216537396,0.20823516602223638,37,67,−30,0.14559038028064897
20,Levante,38,0.11318236699485855,0.32290153738191135,0.18509792535309902,37,70,−33,0.12941367136057685
