position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
1,Barcelona,30,19.736842105263158,5.526315789473684,4.7368421052631575,0.074,0.033,0.040999999999999995,50.0,1990
2,Atlético Madrid,30,13.421052631578947,10.263157894736842,6.315789473684211,0.052,0.028,0.023999999999999997,41.228070175438596,1990
3,Real Madrid,30,15.789473684210526,4.7368421052631575,9.473684210526315,0.063,0.037,0.026000000000000002,40.35087719298245,1990
4,Osasuna,30,11.842105263157896,11.842105263157896,6.315789473684211,0.043,0.034,0.008999999999999994,39.473684210526315,1990
5,Sporting Gijón,30,12.631578947368421,9.473684210526315,7.894736842105263,0.05,0.037,0.013000000000000005,38.59649122807017,1990
6,Oviedo,30,10.263157894736842,12.631578947368421,7.105263157894736,0.036,0.035,0.000999999999999994,36.84210526315789,1990
7,Valencia,30,11.842105263157896,7.894736842105263,10.263157894736842,0.044,0.04,0.003999999999999997,35.08771929824561,1990
8,Sevilla,30,11.842105263157896,6.315789473684211,11.842105263157896,0.045,0.047,-0.0020000000000000018,33.33333333333333,1990
9,Valladolid,30,9.473684210526315,10.263157894736842,10.263157894736842,0.038,0.04,-0.0020000000000000018,32.45614035087719,1990
10,Logroñés,30,10.263157894736842,8.68421052631579,11.052631578947368,0.028,0.035,-0.007000000000000003,32.45614035087719,1990
11,Real Burgos,30,7.894736842105263,13.421052631578947,8.68421052631579,0.032,0.027,0.005000000000000001,32.45614035087719,1990
12,Athletic Bilbao,30,11.842105263157896,4.7368421052631575,13.421052631578947,0.041,0.05,-0.009000000000000001,31.57894736842105,1990
13,Real Sociedad,30,8.68421052631579,11.052631578947368,10.263157894736842,0.039,0.045,-0.005999999999999998,31.57894736842105,1990
14,Tenerife,30,11.052631578947368,5.526315789473684,13.421052631578947,0.037,0.053,-0.016,30.701754385964914,1990
15,Mallorca,30,7.105263157894736,12.631578947368421,10.263157894736842,0.032,0.04,-0.008,29.82456140350877,1990
16,Español,30,9.473684210526315,7.894736842105263,12.631578947368421,0.039,0.047,-0.008,29.82456140350877,1990
17,Zaragoza,30,8.68421052631579,8.68421052631579,12.631578947368421,0.036,0.04,-0.0040000000000000036,28.947368421052634,1990
18,Cádiz,30,5.526315789473684,11.842105263157896,12.631578947368421,0.029,0.041,-0.012,25.438596491228072,1990
19,Castellón,30,6.315789473684211,9.473684210526315,14.210526315789473,0.027,0.048,-0.021,24.561403508771928,1990
20,Real Betis,30,4.7368421052631575,10.263157894736842,15.0,0.037,0.065,-0.028000000000000004,21.929824561403507,1990
1,Barcelona,30,18.157894736842106,7.105263157894736,4.7368421052631575,0.087,0.037,0.049999999999999996,48.24561403508772,1991
2,Real Madrid,30,18.157894736842106,6.315789473684211,5.526315789473684,0.078,0.032,0.046,47.368421052631575,1991
