Home,Away,Score
Deportivo Alavés,Athletic Bilbao,1–0
Deportivo Alavés,Atlético Madrid,1–2
Deportivo Alavés,FC Barcelona,1–1
Deportivo Alavés,Cádiz CF,1–1
Deportivo Alavés,RC Celta de Vigo,1–3
Deportivo Alavés,SD Eibar,2–1
Deportivo Alavés,Elche CF,0–2
Deportivo Alavés,Getafe CF,0–0
Deportivo Alavés,Granada CF,4–2
Deportivo Alavés,SD Huesca,1–0
Deportivo Alavés,Levante UD,2–2
Deportivo Alavés,CA Osasuna,0–1
Deportivo Alavés,Real Betis,0–1
Deportivo Alavés,Real Madrid CF,1–4
Deportivo Alavés,Real Sociedad,0–0
Deportivo Alavés,Sevilla FC,1–2
Deportivo Alavés,Valencia CF,2–2
Deportivo Alavés,Real Valladolid,1–0
Deportivo Alavés,Villarreal CF,2–1
Athletic Bilbao,Deportivo Alavés,0–0
Athletic Bilbao,Atlético Madrid,2–1
Athletic Bilbao,FC Barcelona,2–3
Athletic Bilbao,Cádiz CF,0–1
Athletic Bilbao,RC Celta de Vigo,0–2
Athletic Bilbao,SD Eibar,1–1
Athletic Bilbao,Elche CF,1–0
Athletic Bilbao,Getafe CF,5–1
Athletic Bilbao,Granada CF,2–1
Athletic Bilbao,SD Huesca,2–0
Athletic Bilbao,Levante UD,2–0
Athletic Bilbao,CA Osasuna,2–2
Athletic Bilbao,Real Betis,4–0
Athletic Bilbao,Real Madrid CF,0–1
Athletic Bilbao,Real Sociedad,0–1
Athletic Bilbao,Sevilla FC,2–1
Athletic Bilbao,Valencia CF,1–1
Athletic Bilbao,Real Valladolid,2–2
Athletic Bilbao,Villarreal CF,1–1
Atlético Madrid,Deportivo Alavés,1–0
Atlético Madrid,Athletic Bilbao,2–1
Atlético Madrid,FC Barcelona,1–0
Atlético Madrid,Cádiz CF,4–0
Atlético Madrid,RC Celta de Vigo,2–2
Atlético Madrid,SD Eibar,5–0
Atlético Madrid,Elche CF,3–1
Atlético Madrid,Getafe CF,1–0
Atlético Madrid,Granada CF,6–1
Atlético Madrid,SD Huesca,2–0
Atlético Madrid,Levante UD,0–2
Atlético Madrid,CA Osasuna,2–1
Atlético Madrid,Real Betis,2–0
Atlético Madrid,Real Madrid CF,1–1
Atlético Madrid,Real Sociedad,2–1
Atlético Madrid,Sevilla FC,2–0
Atlético Madrid,Valencia CF,3–1
Atlético Madrid,Real Valladolid,2–0
Atlético Madrid,Villarreal CF,0–0
FC Barcelona,Deportivo Alavés,5–1
FC Barcelona,Athletic Bilbao,2–1
FC Barcelona,Atlético Madrid,0–0
FC Barcelona,Cádiz CF,1–1
FC Barcelona,RC Celta de Vigo,1–2
FC Barcelona,SD Eibar,1–1
FC Barcelona,Elche CF,3–0
FC Barcelona,Getafe CF,5–2
FC Barcelona,Granada CF,1–2
FC Barcelona,SD Huesca,4–1
FC Barcelona,Levante UD,1–0
FC Barcelona,CA Osasuna,4–0
FC Barcelona,Real Betis,5–2
FC Barcelona,Real Madrid CF,1–3
FC Barcelona,Real Sociedad,2–1
FC Barcelona,Sevilla FC,1–1
FC Barcelona,Valencia CF,2–2
FC Barcelona,Real Valladolid,1–0
FC Barcelona,Villarreal CF,4–0
Cádiz CF,Deportivo Alavés,3–1
Cádiz CF,Athletic Bilbao,0–4
Cádiz CF,Atlético Madrid,2–4
Cádiz CF,FC Barcelona,2–1
Cádiz CF,RC Celta de Vigo,0–0
Cádiz CF,SD Eibar,1–0
Cádiz CF,Elche CF,1–3
Cádiz CF,Getafe CF,0–2
Cádiz CF,Granada CF,1–1
Cádiz CF,SD Huesca,2–1
Cádiz CF,Levante UD,2–2
Cádiz CF,CA Osasuna,0–2
Cádiz CF,Real Betis,0–1
Cádiz CF,Real Madrid CF,0–3
Cádiz CF,Real Sociedad,0–1
Cádiz CF,Sevilla FC,1–3
Cádiz CF,Valencia CF,2–1
Cádiz CF,Real Valladolid,0–0
Cádiz CF,Villarreal CF,0–0
RC Celta de Vigo,Deportivo Alavés,2–0
RC Celta de Vigo,Athletic Bilbao,0–0
RC Celta de Vigo,Atlético Madrid,0–2
RC Celta de Vigo,FC Barcelona,0–3
RC Celta de Vigo,Cádiz CF,4–0
RC Celta de Vigo,SD Eibar,1–1
RC Celta de Vigo,Elche CF,3–1
RC Celta de Vigo,Getafe CF,1–0
RC Celta de Vigo,Granada CF,3–1
RC Celta de Vigo,SD Huesca,2–1
RC Celta de Vigo,Levante UD,2–0
RC Celta de Vigo,CA Osasuna,2–1
RC Celta de Vigo,Real Betis,2–3
RC Celta de Vigo,Real Madrid CF,1–3
RC Celta de Vigo,Real Sociedad,1–4
RC Celta de Vigo,Sevilla FC,3–4
RC Celta de Vigo,Valencia CF,2–1
RC Celta de Vigo,Real Valladolid,1–1
RC Celta de Vigo,Villarreal CF,0–4
SD Eibar,Deportivo Alavés,3–0
SD Eibar,Athletic Bilbao,1–2
SD Eibar,Atlético Madrid,1–2
SD Eibar,FC Barcelona,0–1
SD Eibar,Cádiz CF,0–2
SD Eibar,RC Celta de Vigo,0–0
SD Eibar,Elche CF,0–1
SD Eibar,Getafe CF,0–0
SD Eibar,Granada CF,2–0
SD Eibar,SD Huesca,1–1
SD Eibar,Levante UD,0–1
SD Eibar,CA Osasuna,0–0
SD Eibar,Real Betis,1–1
SD Eibar,Real Madrid CF,1–3
SD Eibar,Real Sociedad,0–1
SD Eibar,Sevilla FC,0–2
SD Eibar,Valencia CF,0–0
SD Eibar,Real Valladolid,1–1
SD Eibar,Villarreal CF,1–3
Elche CF,Deportivo Alavés,0–2
Elche CF,Athletic Bilbao,2–0
Elche CF,Atlético Madrid,0–1
Elche CF,FC Barcelona,0–2
Elche CF,Cádiz CF,1–1
Elche CF,RC Celta de Vigo,1–1
Elche CF,SD Eibar,1–0
Elche CF,Getafe CF,1–3
Elche CF,Granada CF,0–1
Elche CF,SD Huesca,0–0
Elche CF,Levante UD,1–0
Elche CF,CA Osasuna,2–2
Elche CF,Real Betis,1–1
Elche CF,Real Madrid CF,1–1
Elche CF,Real Sociedad,0–3
Elche CF,Sevilla FC,2–1
Elche CF,Valencia CF,2–1
Elche CF,Real Valladolid,1–1
Elche CF,Villarreal CF,2–2
Getafe CF,Deportivo Alavés,0–0
Getafe CF,Athletic Bilbao,1–1
