position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
17,Celta Vigo,34.0,10,10,14,30,41,−11,30,1974-75
7,Celta Vigo,38.0,14,11,13,43,40,+3,39,1987-88
8,Celta Vigo,38.0,14,11,13,42,48,−6,39,1988-89
19,Celta Vigo,38.0,5,12,21,24,51,−27,22,1989-90
5,Celta Vigo,38.0,16,12,10,64,46,18,60,2001-02
4,Celta Vigo,38.0,17,10,11,45,36,9,61,2002-03
17,Celta Vigo,38.0,10,7,21,37,52,−15,37,2012-13
9,Celta Vigo,38.0,14,7,17,49,54,−5,49,2013-14
8,Celta Vigo,38.0,13,12,13,47,44,+3,51,2014-15
6,Celta Vigo,38.0,17,9,12,51,59,−8,60,2015-16
13,Celta Vigo,38.0,13,6,19,53,69,−16,45,2016-17
13,Celta Vigo,38.0,13,10,15,59,60,−1,49,2017-18
17,Celta Vigo,38.0,10,11,17,53,62,−9,41,2018-19
17,Celta Vigo,38.0,7,16,15,37,49,−12,37,2019-20
8,Celta Vigo,38.0,14,11,13,55,57,−2,53,2020-21
11,Celta Vigo,38.0,12,10,16,43,43,0,46,2021-22
