position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
12,Deportivo La Coruña,30.0,13,4,13,64,47,+17,30,1950-51
11,Deportivo La Coruña,30.0,10,5,15,46,70,−24,25,1951-52
14,Deportivo La Coruña,30.0,9,6,15,49,78,−29,24,1952-53
7,Deportivo La Coruña,30.0,13,5,12,41,46,−5,31,1953-54
7,Deportivo La Coruña,30.0,12,6,12,52,59,−7,30,1954-55
12,Deportivo La Coruña,30.0,11,4,15,60,80,−20,26,1955-56
15,Deportivo La Coruña,30.0,10,2,18,41,61,−20,22,1956-57
14,Deportivo La Coruña,30.0,11,3,16,33,48,−15,25,1962-63
16,Deportivo La Coruña,30.0,6,3,21,18,50,−32,15,1964-65
16,Deportivo La Coruña,30.0,7,4,19,25,57,−32,18,1966-67
10,Deportivo La Coruña,30.0,11,6,13,39,44,−5,28,1968-69
14,Deportivo La Coruña,30.0,8,9,13,25,32,−7,25,1969-70
14,Deportivo La Coruña,34.0,11,8,15,28,38,−10,30,1971-72
17,Deportivo La Coruña,34.0,7,13,14,22,44,−22,27,1972-73
17,Deportivo La Coruña,38.0,8,15,15,37,48,−11,31,1991-92
3,Deportivo La Coruña,38.0,22,10,6,67,33,+34,54,1992-93
2,Deportivo La Coruña,38.0,22,12,4,54,18,+36,56,1993-94
2,Deportivo La Coruña,38.0,20,11,7,68,32,+36,51,1994-95
9,Deportivo La Coruña,42.0,16,13,13,63,44,+19,61,1995-96
3,Deportivo La Coruña,42.0,21,14,7,57,30,+27,77,1996-97
12,Deportivo La Coruña,38.0,12,13,13,44,46,−2,49,1997-98
6,Deportivo La Coruña,38.0,17,12,9,55,43,+12,63,1998-99
1,Deportivo La Coruña,38.0,21,6,11,66,44,+22,69,1999-2000
2,Deportivo La Coruña,38.0,22,7,9,73,44,+29,73,2000-01
2,Deportivo La Coruña,38.0,20,8,10,65,41,+24,68,2001-02
3,Deportivo La Coruña,38.0,22,6,10,67,47,+20,72,2002-03
3,Deportivo La Coruña,38.0,21,8,9,60,34,+26,71,2003-04
8,Deportivo La Coruña,38.0,12,15,11,46,50,−4,51,2004-05
8,Deportivo La Coruña,38.0,15,10,13,47,45,+2,55,2005-06
13,Deportivo La Coruña,38.0,12,11,15,32,45,−13,47,2006-07
9,Deportivo La Coruña,38.0,15,7,16,46,47,−1,52,2007-08
7,Deportivo La Coruña,38.0,16,10,12,48,47,+1,58,2008-09
10,Deportivo La Coruña,38.0,13,8,17,35,49,−14,47,2009-10
18,Deportivo La Coruña,38.0,10,13,15,31,47,−16,43,2010-11
19,Deportivo La Coruña,38.0,8,11,19,47,70,−23,35,2012-13
16,Deportivo La Coruña,38.0,7,14,17,35,60,−25,35,2014-15
15,Deportivo La Coruña,38.0,8,18,12,45,61,−16,42,2015-16
16,Deportivo La Coruña,38.0,8,12,18,43,61,−18,36,2016-17
18,Deportivo La Coruña,38.0,6,11,21,38,76,−38,29,2017-18
