position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
9,Mallorca,30.0,12,4,14,38,41,−3,28,1960-61
12,Mallorca,30.0,10,7,13,54,59,−5,27,1961-62
13,Mallorca,30.0,11,4,15,47,57,−10,26,1962-63
15,Mallorca,30.0,9,5,16,40,55,−15,23,1965-66
15,Mallorca,30.0,7,8,15,33,52,−19,22,1969-70
17,Mallorca,34.0,3,15,16,27,56,−29,21,1983-84
18,Mallorca,38.0,9,12,17,35,50,−15,30,1987-88
10,Mallorca,38.0,11,17,10,36,34,+2,39,1989-90
15,Mallorca,38.0,9,16,13,32,40,−8,34,1990-91
20,Mallorca,38.0,10,7,21,30,49,−19,27,1991-92
5,Mallorca,38.0,16,12,10,55,39,+16,60,1997-98
3,Mallorca,38.0,20,6,12,48,31,+17,66,1998-99
10,Mallorca,38.0,14,9,15,52,45,+7,51,1999-2000
3,Mallorca,38.0,20,11,7,61,43,+18,71,2000-01
16,Mallorca,38.0,11,10,17,40,52,−12,43,2001-02
9,Mallorca,38.0,14,10,14,49,56,−7,52,2002-03
11,Mallorca,38.0,15,6,17,54,66,−12,51,2003-04
17,Mallorca,38.0,10,9,19,42,63,−21,39,2004-05
13,Mallorca,38.0,10,13,15,37,51,−14,43,2005-06
12,Mallorca,38.0,14,7,17,41,47,−6,49,2006-07
7,Mallorca,38.0,15,14,9,69,54,+15,59,2007-08
9,Mallorca,38.0,14,9,15,53,60,−7,51,2008-09
5,Mallorca,,[a],38,18,8,12,59,44,2009-10
17,Mallorca,38.0,12,8,18,41,56,−15,44,2010-11
8,Mallorca,38.0,14,10,14,42,46,−4,52,2011-12
18,Mallorca,38.0,9,9,20,43,72,−29,36,2012-13
19,Mallorca,38.0,9,6,23,40,65,−25,33,2019-20
16,Mallorca,38.0,10,9,19,36,63,−27,39,2021-22
