position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
11,Español,30,13,4,13,82,72,+10,30,1950-51
7,Español,30,14,4,12,69,62,+7,32,1951-52
4,Español,30,16,4,10,64,40,+24,36,1952-53
4,Español,30,14,6,10,50,36,+14,34,1953-54
13,Español,30,8,10,12,42,46,−4,26,1954-55
7,Español,30,14,3,13,50,56,−6,31,1955-56
7,Español,30,11,8,11,39,48,−9,30,1956-57
8,Español,30,11,6,13,48,46,+2,28,1957-58
7,Español,30,11,7,12,42,45,−3,29,1958-59
8,Español,30,11,8,11,33,29,+4,30,1959-60
