position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
3,Valencia,30,17,3,10,64,48,+16,37,1950-51
5,Valencia,30,15,5,10,68,51,+17,35,1951-52
2,Valencia,30,16,8,6,66,42,+24,40,1952-53
3,Valencia,30,14,6,10,69,51,+18,34,1953-54
5,Valencia,30,15,3,12,71,60,+11,33,1954-55
6,Valencia,30,13,6,11,58,50,+8,32,1955-56
11,Valencia,30,10,7,13,43,46,−3,27,1956-57
4,Valencia,30,13,10,7,56,40,+16,36,1957-58
4,Valencia,30,13,7,10,47,41,+6,33,1958-59
9,Valencia,30,11,6,13,37,33,+4,28,1959-60
