position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
3,Atlético Madrid,30.0,17,8,5,51,20,+31,42,1970-71
4,Atlético Madrid,34.0,14,11,9,45,28,+17,39,1971-72
1,Atlético Madrid,34.0,20,8,6,49,29,+20,48,1972-73
2,Atlético Madrid,34.0,16,8,10,50,31,+19,40,1973-74
6,Atlético Madrid,34.0,11,13,10,46,34,+12,35,1974-75
3,Atlético Madrid,34.0,18,6,10,60,38,+22,42,1975-76
1,Atlético Madrid,34.0,19,8,7,62,33,+29,46,1976-77
6,Atlético Madrid,34.0,16,4,14,61,52,+9,36,1977-78
3,Atlético Madrid,34.0,14,13,7,55,37,+18,41,1978-79
13,Atlético Madrid,34.0,10,11,13,38,44,−6,31,1979-80
