position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
12,Athletic Bilbao,38.0,15,6,17,41,50,−9,36,1990-91
14,Athletic Bilbao,38.0,13,7,18,38,58,−20,33,1991-92
8,Athletic Bilbao,38.0,17,6,15,53,49,+4,40,1992-93
5,Athletic Bilbao,38.0,16,11,11,61,47,+14,43,1993-94
8,Athletic Bilbao,38.0,16,10,12,39,42,−3,42,1994-95
15,Athletic Bilbao,42.0,11,15,16,44,55,−11,48,1995-96
6,Athletic Bilbao,42.0,16,16,10,72,57,+15,64,1996-97
2,Athletic Bilbao,38.0,17,14,7,52,42,+10,65,1997-98
8,Athletic Bilbao,,[a],38,17,9,12,53,47,1998-99
11,Athletic Bilbao,38.0,12,14,12,47,57,−10,50,1999-2000
