position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
6,Oviedo,38.0,13,16,9,36,35,+1,42,1990-91
11,Oviedo,38.0,14,8,16,41,46,−5,36,1991-92
16,Oviedo,38.0,11,10,17,42,52,−10,32,1992-93
9,Oviedo,38.0,12,13,13,43,49,−6,37,1993-94
9,Oviedo,38.0,13,13,12,45,42,+3,39,1994-95
14,Oviedo,42.0,12,12,18,48,67,−19,48,1995-96
17,Oviedo,42.0,12,12,18,49,65,−16,48,1996-97
18,Oviedo,38.0,9,13,16,36,51,−15,40,1997-98
14,Oviedo,38.0,11,12,15,41,57,−16,45,1998-99
16,Oviedo,38.0,11,12,15,44,60,−16,45,1999-2000
