position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
13,Real Sociedad,38.0,11,14,13,39,45,−6,36,1990-91
5,Real Sociedad,38.0,16,12,10,44,38,+6,44,1991-92
13,Real Sociedad,38.0,13,8,17,46,59,−13,34,1992-93
11,Real Sociedad,38.0,12,12,14,39,47,−8,36,1993-94
11,Real Sociedad,38.0,12,14,12,56,44,+12,38,1994-95
7,Real Sociedad,42.0,17,12,13,62,53,+9,63,1995-96
8,Real Sociedad,42.0,18,9,15,50,47,+3,63,1996-97
3,Real Sociedad,38.0,16,15,7,60,37,+23,63,1997-98
10,Real Sociedad,38.0,14,12,12,47,43,+4,54,1998-99
13,Real Sociedad,38.0,11,14,13,42,49,−7,47,1999-2000
