position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
17,Zaragoza,38.0,11,11,16,36,40,−4,33,1990-91
6,Zaragoza,38.0,17,7,14,40,41,−1,41,1991-92
9,Zaragoza,38.0,11,13,14,37,52,−15,35,1992-93
3,Zaragoza,38.0,19,8,11,71,47,+24,46,1993-94
7,Zaragoza,38.0,18,7,13,56,51,+5,43,1994-95
13,Zaragoza,42.0,11,15,16,51,59,−8,48,1995-96
14,Zaragoza,42.0,12,14,16,58,66,−8,50,1996-97
13,Zaragoza,38.0,12,12,14,45,53,−8,48,1997-98
9,Zaragoza,38.0,16,9,13,57,46,+11,57,1998-99
4,Zaragoza,38.0,16,15,7,60,40,+20,63,1999-2000
