position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
9,Espanyol,38.0,14,8,16,46,44,+2,50,2000-01
14,Espanyol,38.0,13,8,17,47,56,−9,47,2001-02
17,Espanyol,38.0,10,13,15,48,54,−6,43,2002-03
16,Espanyol,38.0,13,4,21,48,64,−16,43,2003-04
5,Espanyol,38.0,17,10,11,54,46,+8,61,2004-05
15,Espanyol,38.0,10,11,17,36,56,−20,41,2005-06
11,Espanyol,38.0,12,13,13,46,53,−7,49,2006-07
12,Espanyol,38.0,13,9,16,43,53,−10,48,2007-08
10,Espanyol,38.0,12,11,15,46,49,−3,47,2008-09
11,Espanyol,38.0,11,11,16,29,46,−17,44,2009-10
