position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
3,Mallorca,38.0,20,11,7,61,43,+18,71,2000-01
16,Mallorca,38.0,11,10,17,40,52,−12,43,2001-02
9,Mallorca,38.0,14,10,14,49,56,−7,52,2002-03
11,Mallorca,38.0,15,6,17,54,66,−12,51,2003-04
17,Mallorca,38.0,10,9,19,42,63,−21,39,2004-05
13,Mallorca,38.0,10,13,15,37,51,−14,43,2005-06
12,Mallorca,38.0,14,7,17,41,47,−6,49,2006-07
7,Mallorca,38.0,15,14,9,69,54,+15,59,2007-08
9,Mallorca,38.0,14,9,15,53,60,−7,51,2008-09
5,Mallorca,,[a],38,18,8,12,59,44,2009-10
