position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
1,Real Madrid,38.0,24,8,6,81,40,+41,80,2000-01
3,Real Madrid,,[a],38,19,9,10,69,44,2001-02
1,Real Madrid,38.0,22,12,4,86,42,+44,78,2002-03
4,Real Madrid,38.0,21,7,10,72,54,+18,70,2003-04
2,Real Madrid,38.0,25,5,8,71,32,+39,80,2004-05
2,Real Madrid,38.0,20,10,8,70,40,+30,70,2005-06
1,Real Madrid,38.0,23,7,8,66,40,+26,76,2006-07
1,Real Madrid,38.0,27,4,7,84,36,+48,85,2007-08
2,Real Madrid,38.0,25,3,10,83,52,+31,78,2008-09
2,Real Madrid,38.0,31,3,4,102,35,+67,96,2009-10
