position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
1,Barcelona,38.0,30,6,2,95,21,+74,96,2010-11
2,Barcelona,38.0,28,7,3,114,29,+85,91,2011-12
1,Barcelona,38.0,32,4,2,115,40,+75,100,2012-13
2,Barcelona,38.0,27,6,5,100,33,+67,87,2013-14
1,Barcelona,38.0,30,4,4,110,21,+89,94,2014-15
1,Barcelona,38.0,29,4,5,112,29,+83,91,2015-16
2,Barcelona,38.0,28,6,4,116,37,+79,90,2016-17
1,Barcelona,38.0,28,9,1,99,29,+70,93,2017-18
1,Barcelona,38.0,26,9,3,90,36,+54,87,2018-19
2,Barcelona,38.0,25,7,6,86,38,+48,82,2019-20
3,Barcelona,38.0,24,7,7,85,38,+47,79,2020-21
2,Barcelona,38.0,21,10,7,68,38,+30,73,2021-22
