position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
4,Villarreal,38.0,18,8,12,54,44,+10,62,2010-11
18,Villarreal,38.0,9,14,15,39,53,−14,41,2011-12
6,Villarreal,38.0,17,8,13,60,44,+16,59,2013-14
6,Villarreal,38.0,16,12,10,48,37,+11,60,2014-15
4,Villarreal,38.0,18,10,10,44,35,+9,64,2015-16
5,Villarreal,38.0,19,10,9,56,33,+23,67,2016-17
5,Villarreal,38.0,18,7,13,57,50,+7,61,2017-18
14,Villarreal,38.0,10,14,14,49,52,−3,44,2018-19
5,Villarreal,38.0,18,6,14,63,49,+14,60,2019-20
7,Villarreal,38.0,15,13,10,60,44,+16,58,2020-21
7,Villarreal,38.0,16,11,11,63,37,+26,59,2021-22
