position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
16,Alavés,38.0,11,7,20,36,63,−27,40,1998-99
6,Alavés,38.0,17,10,11,41,37,+4,61,1999-2000
10,Alavés,38.0,14,7,17,58,59,−1,49,2000-01
7,Alavés,,[b],38,17,3,18,41,44,2001-02
19,Alavés,38.0,8,11,19,38,68,−30,35,2002-03
18,Alavés,38.0,9,12,17,35,54,−19,39,2005-06
9,Alavés,38.0,14,13,11,41,43,−2,55,2016-17
14,Alavés,38.0,15,2,21,40,50,−10,47,2017-18
11,Alavés,38.0,13,11,14,39,50,−11,50,2018-19
16,Alavés,38.0,10,9,19,34,59,−25,39,2019-20
16,Alavés,38.0,9,11,18,36,57,−21,38,2020-21
20,Alavés,38.0,8,7,23,31,65,−34,31,2021-22
