position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
1,Atlético Madrid,30.0,17,6,7,87,50,+37,40,1950-51
4,Atlético Madrid,30.0,16,5,9,80,57,+23,37,1951-52
8,Atlético Madrid,30.0,13,4,13,65,70,−5,30,1952-53
11,Atlético Madrid,30.0,11,7,12,57,47,+10,29,1953-54
8,Atlético Madrid,30.0,11,7,12,59,64,−5,29,1954-55
5,Atlético Madrid,30.0,14,5,11,75,49,+26,33,1955-56
5,Atlético Madrid,30.0,15,4,11,65,45,+20,34,1956-57
2,Atlético Madrid,30.0,16,10,4,78,43,+35,42,1957-58
5,Atlético Madrid,30.0,13,6,11,58,48,+10,32,1958-59
5,Atlético Madrid,30.0,15,3,12,59,40,+19,33,1959-60
2,Atlético Madrid,30.0,17,6,7,57,35,22,40,1960-61
3,Atlético Madrid,30.0,15,6,9,50,36,14,36,1961-62
2,Atlético Madrid,30.0,14,9,7,61,36,25,37,1962-63
7,Atlético Madrid,30.0,10,9,11,37,34,3,29,1963-64
2,Atlético Madrid,30.0,20,3,7,58,27,31,43,1964-65
1,Atlético Madrid,30.0,18,8,4,54,20,34,44,1965-66
4,Atlético Madrid,30.0,14,7,9,57,30,27,35,1966-67
6,Atlético Madrid,30.0,12,9,9,38,32,6,33,1967-68
6,Atlético Madrid,30.0,10,10,10,40,37,3,30,1968-69
1,Atlético Madrid,30.0,18,6,6,53,22,31,42,1969-70
3,Atlético Madrid,30.0,17,8,5,51,20,+31,42,1970-71
4,Atlético Madrid,34.0,14,11,9,45,28,+17,39,1971-72
1,Atlético Madrid,34.0,20,8,6,49,29,+20,48,1972-73
2,Atlético Madrid,34.0,16,8,10,50,31,+19,40,1973-74
6,Atlético Madrid,34.0,11,13,10,46,34,+12,35,1974-75
3,Atlético Madrid,34.0,18,6,10,60,38,+22,42,1975-76
1,Atlético Madrid,34.0,19,8,7,62,33,+29,46,1976-77
6,Atlético Madrid,34.0,16,4,14,61,52,+9,36,1977-78
3,Atlético Madrid,34.0,14,13,7,55,37,+18,41,1978-79
13,Atlético Madrid,34.0,10,11,13,38,44,−6,31,1979-80
3,Atlético Madrid,34.0,17,8,9,59,41,18,42,1980-81
8,Atlético Madrid,34.0,15,4,15,38,37,1,34,1981-82
3,Atlético Madrid,34.0,20,6,8,56,38,18,46,1982-83
4,Atlético Madrid,34.0,17,8,9,53,47,6,42,1983-84
2,Atlético Madrid,34.0,16,11,7,51,28,23,43,1984-85
5,Atlético Madrid,34.0,17,8,9,53,38,15,42,1985-86
3,Atlético Madrid,38.0,19,10,9,60,38,22,48,1987-88
4,Atlético Madrid,38.0,19,8,11,69,45,24,46,1988-89
4,Atlético Madrid,38.0,20,10,8,55,35,20,50,1989-90
2,Atlético Madrid,38.0,17,13,8,52,28,+24,47,1990-91
3,Atlético Madrid,38.0,24,5,9,67,35,+32,53,1991-92
6,Atlético Madrid,38.0,16,11,11,52,42,+10,43,1992-93
12,Atlético Madrid,38.0,13,9,16,54,54,0,35,1993-94
14,Atlético Madrid,38.0,13,9,16,56,54,+2,35,1994-95
1,Atlético Madrid,42.0,26,9,7,75,32,+43,87,1995-96
5,Atlético Madrid,42.0,20,11,11,76,64,+12,71,1996-97
7,Atlético Madrid,38.0,16,12,10,79,56,+23,60,1997-98
13,Atlético Madrid,38.0,12,10,16,54,50,+4,46,1998-99
19,Atlético Madrid,38.0,9,11,18,48,64,−16,38,1999-2000
12,Atlético Madrid,38.0,12,11,15,51,56,−5,47,2002-03
7,Atlético Madrid,38.0,15,10,13,51,53,−2,55,2003-04
11,Atlético Madrid,38.0,13,11,14,40,34,+6,50,2004-05
10,Atlético Madrid,38.0,13,13,12,45,37,+8,52,2005-06
7,Atlético Madrid,38.0,17,9,12,46,39,+7,60,2006-07
4,Atlético Madrid,38.0,19,7,12,66,47,+19,64,2007-08
4,Atlético Madrid,38.0,20,7,11,80,57,+23,67,2008-09
9,Atlético Madrid,38.0,13,8,17,57,61,−4,47,2009-10
7,Atlético Madrid,38.0,17,7,14,62,53,9,58,2010-11
5,Atlético Madrid,38.0,15,11,12,53,46,7,56,2011-12
3,Atlético Madrid,38.0,23,7,8,65,31,34,76,2012-13
1,Atlético Madrid,38.0,28,6,4,77,26,51,90,2013-14
3,Atlético Madrid,38.0,23,9,6,67,29,38,78,2014-15
3,Atlético Madrid,38.0,28,4,6,63,18,45,88,2015-16
3,Atlético Madrid,38.0,23,9,6,70,27,43,78,2016-17
2,Atlético Madrid,38.0,23,10,5,58,22,36,79,2017-18
2,Atlético Madrid,38.0,22,10,6,55,29,26,76,2018-19
3,Atlético Madrid,38.0,18,16,4,51,27,24,70,2019-20
1,Atlético Madrid,38.0,26,8,4,67,25,42,86,2020-21
3,Atlético Madrid,38.0,21,8,9,65,43,22,71,2021-22
