position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
18,Cádiz,34,7,8,19,30,69,−39,22,1977-78
16,Cádiz,34,13,3,18,31,47,−16,29,1981-82
16,Cádiz,34,6,10,18,36,51,−15,22,1983-84
15,Cádiz,34,9,8,17,30,58,−28,26,1985-86
6,Cádiz,44,10,9,25,31,59,−28,29,1986-87
12,Cádiz,38,11,13,14,47,54,−7,35,1987-88
15,Cádiz,38,9,15,14,31,41,−10,33,1988-89
15,Cádiz,38,12,6,20,28,63,−35,30,1989-90
18,Cádiz,38,7,15,16,29,41,−12,29,1990-91
18,Cádiz,38,7,14,17,32,55,−23,28,1991-92
19,Cádiz,38,5,12,21,30,70,−40,22,1992-93
19,Cádiz,38,8,12,18,36,52,−16,36,2005-06
12,Cádiz,38,11,11,16,36,58,−22,44,2020-21
17,Cádiz,38,8,15,15,35,51,−16,39,2021-22
