position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
13,Málaga,30.0,12,5,13,55,52,+3,29,1950-51
15,Málaga,30.0,10,2,18,47,69,−22,22,1952-53
16,Málaga,30.0,6,7,17,36,65,−29,19,1954-55
16,Málaga,30.0,8,4,18,25,70,−45,20,1962-63
13,Málaga,30.0,8,8,14,24,37,−13,24,1965-66
11,Málaga,30.0,11,5,14,30,39,−9,27,1967-68
14,Málaga,30.0,9,7,14,37,42,−5,25,1968-69
9,Málaga,30.0,8,12,10,27,32,−5,28,1970-71
7,Málaga,34.0,9,17,8,27,31,−4,35,1971-72
10,Málaga,34.0,11,11,12,33,29,+4,33,1972-73
7,Málaga,34.0,12,12,10,31,32,−1,36,1973-74
16,Málaga,34.0,13,5,16,33,42,−9,31,1974-75
18,Málaga,34.0,6,6,22,27,60,−33,18,1976-77
18,Málaga,,[b],34,8,6,20,28,58,1979-80
10,Málaga,34.0,10,10,14,37,48,−11,30,1982-83
9,Málaga,34.0,11,11,12,41,35,+6,33,1983-84
16,Málaga,34.0,7,15,12,23,36,−13,29,1984-85
16,Málaga,38.0,12,9,17,39,53,−14,33,1988-89
17,Málaga,38.0,9,10,19,23,50,−27,28,1989-90
12,Málaga,38.0,11,15,12,55,50,5,48,1999-2000
8,Málaga,38.0,16,8,14,60,61,−1,56,2000-01
10,Málaga,38.0,13,14,11,44,44,0,53,2001-02
13,Málaga,38.0,11,13,14,44,49,−5,46,2002-03
10,Málaga,38.0,15,6,17,50,55,−5,51,2003-04
10,Málaga,38.0,15,6,17,40,48,−8,51,2004-05
20,Málaga,38.0,5,9,24,36,68,−32,24,2005-06
8,Málaga,38.0,15,10,13,55,59,−4,55,2008-09
17,Málaga,38.0,7,16,15,42,48,−6,37,2009-10
11,Málaga,38.0,13,7,18,54,68,−14,46,2010-11
4,Málaga,38.0,17,7,14,54,53,+1,58,2011-12
6,Málaga,38.0,16,9,13,53,50,+3,57,2012-13
11,Málaga,38.0,12,9,17,39,46,−7,45,2013-14
9,Málaga,38.0,14,8,16,42,48,−6,50,2014-15
8,Málaga,38.0,12,12,14,38,35,+3,48,2015-16
11,Málaga,38.0,12,10,16,49,55,−6,46,2016-17
20,Málaga,38.0,5,5,28,24,61,−37,20,2017-18
