position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
9,Oviedo,30.0,12,5,13,63,62,+1,29,1952-53
15,Oviedo,30.0,8,6,16,31,53,−22,22,1953-54
11,Oviedo,30.0,11,5,14,31,49,−18,27,1958-59
6,Oviedo,30.0,13,7,10,38,51,−13,33,1959-60
13,Oviedo,30.0,10,6,14,39,54,−15,26,1960-61
10,Oviedo,30.0,10,7,13,27,47,−20,27,1961-62
3,Oviedo,30.0,15,3,12,52,46,+6,33,1962-63
14,Oviedo,30.0,10,5,15,27,42,−15,25,1963-64
15,Oviedo,30.0,7,6,17,22,54,−32,20,1964-65
12,Oviedo,34.0,9,12,13,33,44,−11,30,1972-73
17,Oviedo,34.0,8,11,15,36,54,−18,27,1973-74
16,Oviedo,34.0,11,5,18,41,45,−4,27,1975-76
12,Oviedo,38.0,12,11,15,41,48,−7,35,1988-89
11,Oviedo,38.0,12,15,11,41,46,−5,39,1989-90
6,Oviedo,38.0,13,16,9,36,35,+1,42,1990-91
11,Oviedo,38.0,14,8,16,41,46,−5,36,1991-92
16,Oviedo,38.0,11,10,17,42,52,−10,32,1992-93
9,Oviedo,38.0,12,13,13,43,49,−6,37,1993-94
9,Oviedo,38.0,13,13,12,45,42,+3,39,1994-95
14,Oviedo,42.0,12,12,18,48,67,−19,48,1995-96
17,Oviedo,42.0,12,12,18,49,65,−16,48,1996-97
18,Oviedo,38.0,9,13,16,36,51,−15,40,1997-98
14,Oviedo,38.0,11,12,15,41,57,−16,45,1998-99
16,Oviedo,38.0,11,12,15,44,60,−16,45,1999-2000
18,Oviedo,38.0,11,8,19,51,67,−16,41,2000-01
