position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
3,Valencia,30.0,17,3,10,64,48,+16,37,1950-51
5,Valencia,30.0,15,5,10,68,51,+17,35,1951-52
2,Valencia,30.0,16,8,6,66,42,+24,40,1952-53
3,Valencia,30.0,14,6,10,69,51,+18,34,1953-54
5,Valencia,30.0,15,3,12,71,60,+11,33,1954-55
6,Valencia,30.0,13,6,11,58,50,+8,32,1955-56
11,Valencia,30.0,10,7,13,43,46,−3,27,1956-57
4,Valencia,30.0,13,10,7,56,40,+16,36,1957-58
4,Valencia,30.0,13,7,10,47,41,+6,33,1958-59
9,Valencia,30.0,11,6,13,37,33,+4,28,1959-60
5,Valencia,30.0,11,10,9,46,42,+4,32,1960-61
7,Valencia,30.0,12,7,11,50,50,0,31,1961-62
7,Valencia,30.0,14,3,13,49,36,+13,31,1962-63
6,Valencia,30.0,16,0,14,53,47,+6,32,1963-64
4,Valencia,30.0,17,4,9,59,37,+22,38,1964-65
9,Valencia,30.0,11,5,14,40,35,+5,27,1965-66
6,Valencia,30.0,14,4,12,58,37,+21,32,1966-67
4,Valencia,30.0,13,8,9,52,38,+14,34,1967-68
5,Valencia,30.0,10,11,9,36,39,−3,31,1968-69
5,Valencia,30.0,15,5,10,35,23,+12,35,1969-70
1,Valencia,30.0,18,7,5,41,19,22,43,1970-71
2,Valencia,34.0,19,7,8,53,30,23,45,1971-72
6,Valencia,34.0,12,10,12,37,33,4,34,1972-73
10,Valencia,34.0,13,7,14,41,33,8,33,1973-74
12,Valencia,34.0,12,8,14,53,48,5,32,1974-75
10,Valencia,34.0,12,8,14,43,41,2,32,1975-76
7,Valencia,34.0,13,10,11,53,47,6,36,1976-77
4,Valencia,34.0,16,7,11,54,33,21,39,1977-78
7,Valencia,34.0,14,7,13,44,39,5,35,1978-79
6,Valencia,34.0,12,12,10,50,42,8,36,1979-80
4,Valencia,34.0,16,10,8,46,39,+7,42,1980-81
5,Valencia,34.0,17,5,12,54,46,+8,39,1981-82
15,Valencia,34.0,9,7,18,42,56,−14,25,1982-83
12,Valencia,34.0,12,8,14,45,47,−2,32,1983-84
9,Valencia,34.0,9,15,10,40,37,+3,33,1984-85
16,Valencia,34.0,8,9,17,38,62,−24,25,1985-86
14,Valencia,38.0,10,13,15,44,53,−9,33,1987-88
3,Valencia,38.0,18,13,7,39,26,+13,49,1988-89
2,Valencia,38.0,20,13,5,67,42,+25,53,1989-90
7,Valencia,38.0,15,10,13,44,40,4,40,1990-91
4,Valencia,38.0,20,7,11,63,42,21,47,1991-92
4,Valencia,38.0,19,10,9,60,33,27,48,1992-93
7,Valencia,38.0,14,12,12,55,50,5,40,1993-94
10,Valencia,38.0,13,12,13,53,48,5,38,1994-95
2,Valencia,42.0,26,5,11,77,51,26,83,1995-96
10,Valencia,42.0,15,11,16,63,59,4,56,1996-97
9,Valencia,38.0,16,7,15,58,52,6,55,1997-98
4,Valencia,38.0,19,8,11,63,39,24,65,1998-99
3,Valencia,38.0,18,10,10,59,39,20,64,1999-2000
5,Valencia,38.0,18,9,11,55,34,+21,63,2000-01
1,Valencia,38.0,21,12,5,51,27,+24,75,2001-02
5,Valencia,38.0,17,9,12,56,35,+21,60,2002-03
1,Valencia,38.0,23,8,7,71,27,+44,77,2003-04
7,Valencia,38.0,14,16,8,54,39,+15,58,2004-05
3,Valencia,38.0,19,12,7,58,33,+25,69,2005-06
4,Valencia,38.0,20,6,12,57,42,+15,66,2006-07
10,Valencia,38.0,15,6,17,48,62,−14,51,2007-08
6,Valencia,38.0,18,8,12,68,54,+14,62,2008-09
3,Valencia,38.0,21,8,9,59,40,+19,71,2009-10
3,Valencia,38.0,21,8,9,64,44,+20,71,2010-11
3,Valencia,38.0,17,10,11,59,44,+15,61,2011-12
5,Valencia,38.0,19,8,11,67,54,+13,65,2012-13
8,Valencia,38.0,13,10,15,51,53,−2,49,2013-14
4,Valencia,38.0,22,11,5,70,32,+38,77,2014-15
12,Valencia,38.0,11,11,16,46,48,−2,44,2015-16
12,Valencia,38.0,13,7,18,56,65,−9,46,2016-17
4,Valencia,38.0,22,7,9,65,38,+27,73,2017-18
4,Valencia,38.0,15,16,7,51,35,+16,61,2018-19
9,Valencia,38.0,14,11,13,46,53,−7,53,2019-20
13,Valencia,38.0,10,13,15,50,53,−3,43,2020-21
9,Valencia,38.0,11,15,12,48,53,−5,48,2021-22
