position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
4,Barcelona,30,13,6,11,62,47,+15,32,1960-61
2,Barcelona,30,18,4,8,81,46,+35,40,1961-62
6,Barcelona,30,11,9,10,45,36,+9,31,1962-63
2,Barcelona,30,19,4,7,74,38,+36,42,1963-64
6,Barcelona,30,14,4,12,59,41,+18,32,1964-65
3,Barcelona,30,16,6,8,51,27,+24,38,1965-66
2,Barcelona,30,20,2,8,58,29,+29,42,1966-67
2,Barcelona,30,15,9,6,48,29,+19,39,1967-68
3,Barcelona,30,13,10,7,40,18,+22,36,1968-69
4,Barcelona,30,13,9,8,40,31,+9,35,1969-70
