position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
1,Real Madrid,30,24,4,2,89,25,+64,52,1960-61
1,Real Madrid,30,19,5,6,58,24,+34,43,1961-62
1,Real Madrid,30,23,3,4,83,33,+50,49,1962-63
1,Real Madrid,30,22,2,6,61,23,+38,46,1963-64
1,Real Madrid,30,21,5,4,64,18,+46,47,1964-65
2,Real Madrid,30,19,5,6,53,30,+23,43,1965-66
1,Real Madrid,30,19,9,2,58,22,+36,47,1966-67
1,Real Madrid,30,16,10,4,55,26,+29,42,1967-68
1,Real Madrid,30,18,11,1,46,21,+25,47,1968-69
6,Real Madrid,30,13,9,8,50,42,+8,35,1969-70
