position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
3,Zaragoza,30,12,9,9,54,53,+1,33,1960-61
4,Zaragoza,30,15,5,10,70,51,+19,35,1961-62
5,Zaragoza,30,14,4,12,54,39,+15,32,1962-63
4,Zaragoza,30,14,6,10,52,42,+10,34,1963-64
3,Zaragoza,30,19,2,9,60,37,+23,40,1964-65
4,Zaragoza,30,14,8,8,47,29,+18,36,1965-66
5,Zaragoza,30,14,6,10,51,50,+1,34,1966-67
5,Zaragoza,30,13,7,10,43,34,+9,33,1967-68
13,Zaragoza,30,8,10,12,36,36,0,26,1968-69
8,Zaragoza,30,13,7,10,35,39,−4,33,1969-70
