position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
11,Español,30.0,8,9,13,18,25,−7,25,1970-71
12,Español,34.0,12,8,14,43,43,0,32,1971-72
3,Español,34.0,17,11,6,48,27,+21,45,1972-73
9,Español,34.0,13,8,13,34,38,−4,34,1973-74
11,Español,34.0,14,5,15,38,47,−9,33,1974-75
4,Español,34.0,18,4,12,48,45,+3,40,1975-76
6,Español,34.0,14,8,12,61,59,+2,36,1976-77
14,Español,34.0,12,6,16,48,60,−12,30,1977-78
8,Español,34.0,15,5,14,37,46,−9,35,1978-79
14,Español,34.0,9,12,13,28,37,−9,30,1979-80
