position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
14,Las Palmas,30.0,5,10,15,33,42,−9,20,1970-71
5,Las Palmas,34.0,15,8,11,40,36,+4,38,1971-72
11,Las Palmas,34.0,11,9,14,38,44,−6,31,1972-73
11,Las Palmas,34.0,14,5,15,28,35,−7,33,1973-74
13,Las Palmas,34.0,12,8,14,41,39,+2,32,1974-75
13,Las Palmas,34.0,12,6,16,39,43,−4,30,1975-76
4,Las Palmas,34.0,15,6,13,56,51,+5,36,1976-77
7,Las Palmas,34.0,12,11,11,43,41,+2,35,1977-78
6,Las Palmas,34.0,14,9,11,49,43,+6,37,1978-79
12,Las Palmas,34.0,13,6,15,36,49,−13,32,1979-80
