position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
8,Real Sociedad,30.0,10,9,11,23,27,−4,29,1970-71
8,Real Sociedad,34.0,14,6,14,38,36,+2,34,1971-72
7,Real Sociedad,34.0,13,8,13,37,39,−2,34,1972-73
4,Real Sociedad,34.0,15,8,11,46,45,+1,38,1973-74
4,Real Sociedad,34.0,12,12,10,37,32,+5,36,1974-75
8,Real Sociedad,34.0,12,10,12,45,45,0,34,1975-76
8,Real Sociedad,34.0,13,8,13,54,41,+13,34,1976-77
11,Real Sociedad,34.0,12,9,13,52,46,+6,33,1977-78
4,Real Sociedad,34.0,18,5,11,53,36,+17,41,1978-79
2,Real Sociedad,34.0,19,14,1,54,20,+34,52,1979-80
