position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
2,Deportivo La Coruña,38.0,22,7,9,73,44,+29,73,2000-01
2,Deportivo La Coruña,38.0,20,8,10,65,41,+24,68,2001-02
3,Deportivo La Coruña,38.0,22,6,10,67,47,+20,72,2002-03
3,Deportivo La Coruña,38.0,21,8,9,60,34,+26,71,2003-04
8,Deportivo La Coruña,38.0,12,15,11,46,50,−4,51,2004-05
8,Deportivo La Coruña,38.0,15,10,13,47,45,+2,55,2005-06
13,Deportivo La Coruña,38.0,12,11,15,32,45,−13,47,2006-07
9,Deportivo La Coruña,38.0,15,7,16,46,47,−1,52,2007-08
7,Deportivo La Coruña,38.0,16,10,12,48,47,+1,58,2008-09
10,Deportivo La Coruña,38.0,13,8,17,35,49,−14,47,2009-10
