position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
15,Osasuna,38.0,10,12,16,43,54,−11,42,2000-01
17,Osasuna,38.0,10,12,16,36,49,−13,42,2001-02
11,Osasuna,38.0,12,11,15,40,48,−8,47,2002-03
13,Osasuna,38.0,11,15,12,38,37,+1,48,2003-04
15,Osasuna,38.0,12,10,16,46,65,−19,46,2004-05
4,Osasuna,38.0,21,5,12,49,43,+6,68,2005-06
14,Osasuna,38.0,13,7,18,51,49,+2,46,2006-07
17,Osasuna,38.0,12,7,19,37,44,−7,43,2007-08
15,Osasuna,38.0,10,13,15,41,47,−6,43,2008-09
12,Osasuna,38.0,11,10,17,37,46,−9,43,2009-10
