position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
5,Valencia,38.0,18,9,11,55,34,+21,63,2000-01
1,Valencia,38.0,21,12,5,51,27,+24,75,2001-02
5,Valencia,38.0,17,9,12,56,35,+21,60,2002-03
1,Valencia,38.0,23,8,7,71,27,+44,77,2003-04
7,Valencia,38.0,14,16,8,54,39,+15,58,2004-05
3,Valencia,38.0,19,12,7,58,33,+25,69,2005-06
4,Valencia,38.0,20,6,12,57,42,+15,66,2006-07
10,Valencia,38.0,15,6,17,48,62,−14,51,2007-08
6,Valencia,38.0,18,8,12,68,54,+14,62,2008-09
3,Valencia,38.0,21,8,9,59,40,+19,71,2009-10
