position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
7,Villarreal,38.0,16,9,13,58,52,+6,57,2000-01
15,Villarreal,38.0,11,10,17,46,55,−9,43,2001-02
15,Villarreal,38.0,11,12,15,44,53,−9,45,2002-03
8,Villarreal,38.0,15,9,14,47,49,−2,54,2003-04
3,Villarreal,38.0,18,11,9,69,37,+32,65,2004-05
7,Villarreal,38.0,14,15,9,50,39,+11,57,2005-06
5,Villarreal,38.0,18,8,12,48,44,+4,62,2006-07
2,Villarreal,38.0,24,5,9,63,40,+23,77,2007-08
5,Villarreal,38.0,18,11,9,61,54,+7,65,2008-09
7,Villarreal,38.0,16,8,14,58,57,+1,56,2009-10
