position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
13,Real Betis,38,13,8,17,47,56,−9,47,2011-12
7,Real Betis,38,16,8,14,57,56,+1,56,2012-13
20,Real Betis,38,6,7,25,36,78,−42,25,2013-14
10,Real Betis,38,11,12,15,34,52,−18,45,2015-16
15,Real Betis,38,10,9,19,41,64,−23,39,2016-17
6,Real Betis,38,18,6,14,60,61,−1,60,2017-18
10,Real Betis,38,14,8,16,44,52,−8,50,2018-19
15,Real Betis,38,10,11,17,48,60,−12,41,2019-20
6,Real Betis,38,17,10,11,50,50,0,61,2020-21
5,Real Betis,38,19,8,11,62,40,+22,65,2021-22
