position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
5,Sevilla,38.0,17,7,14,62,61,+1,58,2010-11
9,Sevilla,38.0,13,11,14,48,47,+1,50,2011-12
9,Sevilla,38.0,14,8,16,58,54,+4,50,2012-13
5,Sevilla,38.0,18,9,11,69,52,+17,63,2013-14
5,Sevilla,38.0,23,7,8,71,45,+26,76,2014-15
7,Sevilla,38.0,14,10,14,51,50,+1,52,2015-16
4,Sevilla,38.0,21,9,8,69,49,+20,72,2016-17
7,Sevilla,38.0,17,7,14,49,58,−9,58,2017-18
6,Sevilla,38.0,17,8,13,62,47,+15,59,2018-19
4,Sevilla,38.0,19,13,6,54,34,+20,70,2019-20
4,Sevilla,38.0,24,5,9,53,33,+20,77,2020-21
4,Sevilla,38.0,18,16,4,53,30,+23,70,2021-22
