position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
9,Athletic Bilbao,34.0,15,4,15,39,32,+7,34,1971-72
9,Athletic Bilbao,34.0,12,9,13,41,38,+3,33,1972-73
5,Athletic Bilbao,34.0,15,7,12,35,31,+4,37,1973-74
10,Athletic Bilbao,34.0,13,7,14,40,42,−2,33,1974-75
5,Athletic Bilbao,34.0,14,11,9,43,38,+5,39,1975-76
3,Athletic Bilbao,34.0,15,8,11,55,45,+10,38,1976-77
3,Athletic Bilbao,34.0,16,8,10,62,36,+26,40,1977-78
9,Athletic Bilbao,34.0,12,10,12,56,46,+10,34,1978-79
7,Athletic Bilbao,34.0,15,5,14,52,44,+8,35,1979-80
9,Athletic Bilbao,34.0,14,7,13,64,53,+11,35,1980-81
4,Athletic Bilbao,34.0,18,4,12,63,41,+22,40,1981-82
1,Athletic Bilbao,34.0,22,6,6,71,36,+35,50,1982-83
1,Athletic Bilbao,34.0,20,9,5,53,30,+23,49,1983-84
3,Athletic Bilbao,34.0,13,15,6,39,26,+13,41,1984-85
3,Athletic Bilbao,34.0,17,9,8,44,31,+13,43,1985-86
1,Athletic Bilbao,44.0,15,12,17,51,50,+1,42,1986-87
4,Athletic Bilbao,38.0,17,12,9,50,43,+7,46,1987-88
7,Athletic Bilbao,38.0,15,12,11,45,35,+10,42,1988-89
12,Athletic Bilbao,38.0,11,15,12,37,39,−2,37,1989-90
12,Athletic Bilbao,38.0,15,6,17,41,50,−9,36,1990-91
14,Athletic Bilbao,38.0,13,7,18,38,58,−20,33,1991-92
8,Athletic Bilbao,38.0,17,6,15,53,49,+4,40,1992-93
5,Athletic Bilbao,38.0,16,11,11,61,47,+14,43,1993-94
8,Athletic Bilbao,38.0,16,10,12,39,42,−3,42,1994-95
15,Athletic Bilbao,42.0,11,15,16,44,55,−11,48,1995-96
6,Athletic Bilbao,42.0,16,16,10,72,57,+15,64,1996-97
2,Athletic Bilbao,38.0,17,14,7,52,42,+10,65,1997-98
8,Athletic Bilbao,,[a],38,17,9,12,53,47,1998-99
11,Athletic Bilbao,38.0,12,14,12,47,57,−10,50,1999-2000
12,Athletic Bilbao,38.0,11,10,17,44,60,−16,43,2000-01
9,Athletic Bilbao,38.0,14,11,13,54,66,−12,53,2001-02
7,Athletic Bilbao,38.0,15,10,13,63,61,+2,55,2002-03
5,Athletic Bilbao,38.0,15,11,12,53,49,+4,56,2003-04
9,Athletic Bilbao,38.0,14,9,15,59,54,+5,51,2004-05
12,Athletic Bilbao,38.0,11,12,15,40,46,−6,45,2005-06
17,Athletic Bilbao,38.0,10,10,18,44,62,−18,40,2006-07
11,Athletic Bilbao,38.0,13,11,14,40,43,−3,50,2007-08
13,Athletic Bilbao,38.0,12,8,18,47,62,−15,44,2008-09
8,Athletic Bilbao,38.0,15,9,14,50,53,−3,54,2009-10
6,Athletic Bilbao,38.0,18,4,16,59,55,+4,58,2010-11
10,Athletic Bilbao,38.0,12,13,13,49,52,−3,49,2011-12
12,Athletic Bilbao,38.0,12,9,17,44,65,−21,45,2012-13
4,Athletic Bilbao,38.0,20,10,8,66,39,+27,70,2013-14
7,Athletic Bilbao,38.0,15,10,13,42,41,+1,55,2014-15
5,Athletic Bilbao,38.0,18,8,12,58,45,+13,62,2015-16
7,Athletic Bilbao,38.0,19,6,13,53,43,+10,63,2016-17
16,Athletic Bilbao,38.0,10,13,15,41,49,−8,43,2017-18
8,Athletic Bilbao,38.0,13,14,11,41,45,−4,53,2018-19
11,Athletic Bilbao,38.0,13,12,13,41,38,+3,51,2019-20
10,Athletic Bilbao,38.0,11,13,14,46,42,+4,46,2020-21
8,Athletic Bilbao,38.0,14,13,11,43,36,+7,55,2021-22
