position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
6,Betis,30,14,4,12,54,53,+1,32,1958-59
3,Betis,38,15,16,7,46,25,+21,46,1994-95
8,Betis,42,16,14,12,61,54,+7,62,1995-96
4,Betis,42,21,14,7,81,46,+35,77,1996-97
8,Betis,38,17,8,13,49,50,−1,59,1997-98
11,Betis,38,14,7,17,47,58,−11,49,1998-99
18,Betis,38,11,9,18,33,56,−23,42,1999-2000
6,Betis,38,15,14,9,42,34,+8,59,2001-02
8,Betis,38,14,12,12,56,53,+3,54,2002-03
9,Betis,38,13,13,12,46,43,+3,52,2003-04
4,Betis,38,16,14,8,62,50,+12,62,2004-05
14,Betis,38,10,12,16,34,51,−17,42,2005-06
13,Betis,38,12,11,15,45,51,−6,47,2007-08
18,Betis,38,10,12,16,51,58,−7,42,2008-09
