position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
11,Celta de Vigo,38.0,9,16,13,25,32,−7,34,1992-93
15,Celta de Vigo,38.0,11,11,16,41,51,−10,33,1993-94
13,Celta de Vigo,,[c],38,11,14,13,36,48,1994-95
11,Celta de Vigo,42.0,12,16,14,49,51,−2,52,1995-96
16,Celta de Vigo,42.0,12,13,17,51,54,−3,49,1996-97
6,Celta de Vigo,38.0,17,9,12,54,47,+7,60,1997-98
5,Celta de Vigo,38.0,17,13,8,69,41,+28,64,1998-99
7,Celta de Vigo,38.0,15,8,15,45,43,+2,53,1999-2000
6,Celta de Vigo,38.0,16,11,11,51,49,+2,59,2000-01
19,Celta de Vigo,38.0,9,12,17,48,68,−20,39,2003-04
6,Celta de Vigo,38.0,20,4,14,45,33,+12,64,2005-06
18,Celta de Vigo,38.0,10,9,19,40,59,−19,39,2006-07
