position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
8,Celta,30,15,3,12,62,56,+6,33,1950-51
9,Celta,30,12,3,15,64,66,−2,27,1951-52
13,Celta,30,10,5,15,54,69,−15,25,1952-53
10,Celta,30,12,5,13,47,54,−7,29,1953-54
11,Celta,30,10,7,13,55,60,−5,27,1954-55
10,Celta,30,12,3,15,52,75,−23,27,1955-56
13,Celta,30,8,7,15,39,47,−8,23,1956-57
7,Celta,30,13,6,11,50,51,−1,32,1957-58
16,Celta,30,4,5,21,21,59,−38,13,1958-59
10,Celta,30,10,7,13,31,39,−8,27,1969-70
6,Celta,30,15,5,10,37,32,+5,35,1970-71
10,Celta,34,10,13,11,37,42,−5,33,1971-72
15,Celta,34,10,9,15,30,37,−7,29,1972-73
12,Celta,34,12,6,16,43,49,−6,30,1973-74
17,Celta,34,9,11,14,22,40,−18,29,1976-77
16,Celta,34,9,10,15,35,55,−20,28,1978-79
17,Celta,34,9,6,19,27,56,−29,24,1982-83
18,Celta,34,5,4,25,32,72,−40,14,1985-86
