position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
11,Español,30.0,13,4,13,82,72,+10,30,1950-51
7,Español,30.0,14,4,12,69,62,+7,32,1951-52
4,Español,30.0,16,4,10,64,40,+24,36,1952-53
4,Español,30.0,14,6,10,50,36,+14,34,1953-54
13,Español,30.0,8,10,12,42,46,−4,26,1954-55
7,Español,30.0,14,3,13,50,56,−6,31,1955-56
7,Español,30.0,11,8,11,39,48,−9,30,1956-57
8,Español,30.0,11,6,13,48,46,+2,28,1957-58
7,Español,30.0,11,7,12,42,45,−3,29,1958-59
8,Español,30.0,11,8,11,33,29,+4,30,1959-60
10,Español,30.0,12,3,15,46,46,0,27,1960-61
13,Español,30.0,8,10,12,45,55,−10,26,1961-62
13,Español,30.0,10,5,15,34,47,−13,25,1963-64
11,Español,30.0,12,1,17,37,39,−2,25,1964-65
12,Español,30.0,7,10,13,31,48,−17,24,1965-66
3,Español,30.0,15,7,8,50,40,+10,37,1966-67
9,Español,30.0,12,5,13,48,44,+4,29,1967-68
15,Español,30.0,8,8,14,29,36,−7,24,1968-69
11,Español,30.0,8,9,13,18,25,−7,25,1970-71
12,Español,34.0,12,8,14,43,43,0,32,1971-72
3,Español,34.0,17,11,6,48,27,+21,45,1972-73
9,Español,34.0,13,8,13,34,38,−4,34,1973-74
11,Español,34.0,14,5,15,38,47,−9,33,1974-75
4,Español,34.0,18,4,12,48,45,+3,40,1975-76
6,Español,34.0,14,8,12,61,59,+2,36,1976-77
14,Español,34.0,12,6,16,48,60,−12,30,1977-78
8,Español,34.0,15,5,14,37,46,−9,35,1978-79
14,Español,34.0,9,12,13,28,37,−9,30,1979-80
10,Español,34.0,14,6,14,37,42,−5,34,1980-81
13,Español,34.0,13,6,15,48,55,−7,32,1981-82
9,Español,34.0,13,6,15,45,47,−2,32,1982-83
10,Español,34.0,10,13,11,42,44,−2,33,1983-84
8,Español,34.0,11,12,11,40,44,−4,34,1984-85
11,Español,34.0,11,9,14,43,40,+3,31,1985-86
15,Español,38.0,11,11,16,44,55,−11,33,1987-88
17,Español,38.0,7,16,15,29,44,−15,30,1988-89
16,Español,38.0,12,10,16,39,47,−8,34,1990-91
16,Español,38.0,12,8,18,43,60,−17,32,1991-92
18,Español,38.0,9,11,18,40,56,−16,29,1992-93
