position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
13,Getafe,38,12,11,15,38,46,−8,47,2004-05
9,Getafe,38,15,9,14,54,49,+5,54,2005-06
9,Getafe,38,14,10,14,39,33,+6,52,2006-07
14,Getafe,38,12,11,15,44,48,−4,47,2007-08
17,Getafe,38,10,12,16,50,56,−6,42,2008-09
6,Getafe,38,17,7,14,58,48,+10,58,2009-10
16,Getafe,38,12,8,18,49,60,−11,44,2010-11
11,Getafe,38,12,11,15,40,51,−11,47,2011-12
10,Getafe,38,13,8,17,43,57,−14,47,2012-13
13,Getafe,38,11,9,18,35,54,−19,42,2013-14
15,Getafe,38,10,7,21,33,64,−31,37,2014-15
19,Getafe,38,9,9,20,37,67,−30,36,2015-16
8,Getafe,38,15,10,13,42,33,+9,55,2017-18
5,Getafe,38,15,14,9,48,35,+13,59,2018-19
8,Getafe,38,14,12,12,43,37,+6,54,2019-20
15,Getafe,38,9,11,18,28,43,−15,38,2020-21
15,Getafe,38,8,15,15,33,41,−8,39,2021-22
