position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
13,Granada,30,11,2,17,35,53,−18,24,1957-58
13,Granada,30,11,4,15,30,43,−13,26,1958-59
12,Granada,30,10,5,15,38,52,−14,25,1959-60
16,Granada,30,5,7,18,32,61,−29,17,1960-61
14,Granada,30,8,7,15,32,46,−14,23,1966-67
8,Granada,30,11,7,12,26,38,−12,29,1968-69
12,Granada,30,8,10,12,20,31,−11,26,1969-70
10,Granada,30,10,8,12,33,34,−1,28,1970-71
6,Granada,34,14,8,12,40,34,+6,36,1971-72
13,Granada,34,9,11,14,25,32,−7,29,1972-73
6,Granada,34,12,12,10,34,35,−1,36,1973-74
15,Granada,34,10,11,13,35,47,−12,31,1974-75
17,Granada,34,8,10,16,29,50,−21,26,1975-76
17,Granada,38,12,6,20,35,56,−21,42,2011-12
15,Granada,38,11,9,18,37,54,−17,42,2012-13
15,Granada,38,12,5,21,32,56,−24,41,2013-14
17,Granada,38,7,14,17,29,64,−35,35,2014-15
16,Granada,38,10,9,19,46,69,−23,39,2015-16
20,Granada,38,4,8,26,30,82,−52,20,2016-17
7,Granada,38,16,8,14,52,45,+7,56,2019-20
9,Granada,38,13,7,18,47,65,−18,46,2020-21
18,Granada,38,8,14,16,44,61,−17,38,2021-22
