position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
6,Hércules,30,11,9,10,46,57,−11,31,1954-55
16,Hércules,30,5,3,22,33,86,−53,13,1955-56
15,Hércules,30,6,8,16,32,60,−28,20,1966-67
5,Hércules,34,11,14,9,37,36,+1,36,1974-75
6,Hércules,34,12,12,10,33,37,−4,36,1975-76
13,Hércules,34,11,10,13,35,41,−6,32,1976-77
15,Hércules,34,10,10,14,32,40,−8,30,1977-78
12,Hércules,34,13,6,15,32,38,−6,32,1978-79
15,Hércules,34,8,12,14,36,39,−3,28,1979-80
13,Hércules,34,10,10,14,42,48,−6,30,1980-81
17,Hércules,34,11,5,18,41,52,−11,27,1981-82
15,Hércules,34,9,12,13,28,45,−17,30,1984-85
17,Hércules,34,8,6,20,35,62,−27,22,1985-86
21,Hércules,42,12,5,25,40,77,−37,41,1996-97
19,Hércules,38,9,8,21,36,60,−24,35,2010-11
