position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
15,Las Palmas,30,9,4,17,36,85,−49,22,1951-52
12,Las Palmas,30,10,7,13,45,69,−24,27,1954-55
11,Las Palmas,30,11,4,15,49,60,−11,26,1955-56
10,Las Palmas,30,9,9,12,41,58,−17,27,1956-57
11,Las Palmas,30,9,7,14,34,65,−31,25,1957-58
14,Las Palmas,30,10,4,16,43,69,−26,24,1958-59
15,Las Palmas,30,8,2,20,42,75,−33,18,1959-60
9,Las Palmas,30,11,7,12,36,43,−7,29,1964-65
10,Las Palmas,30,9,8,13,32,39,−7,26,1965-66
11,Las Palmas,30,8,10,12,32,38,−6,26,1966-67
3,Las Palmas,30,17,4,9,56,41,+15,38,1967-68
2,Las Palmas,30,15,8,7,45,34,+11,38,1968-69
9,Las Palmas,30,10,7,13,32,40,−8,27,1969-70
14,Las Palmas,30,5,10,15,33,42,−9,20,1970-71
5,Las Palmas,34,15,8,11,40,36,+4,38,1971-72
11,Las Palmas,34,11,9,14,38,44,−6,31,1972-73
11,Las Palmas,34,14,5,15,28,35,−7,33,1973-74
13,Las Palmas,34,12,8,14,41,39,+2,32,1974-75
13,Las Palmas,34,12,6,16,39,43,−4,30,1975-76
4,Las Palmas,34,15,6,13,56,51,+5,36,1976-77
7,Las Palmas,34,12,11,11,43,41,+2,35,1977-78
6,Las Palmas,34,14,9,11,49,43,+6,37,1978-79
12,Las Palmas,34,13,6,15,36,49,−13,32,1979-80
15,Las Palmas,34,12,4,18,47,61,−14,28,1980-81
15,Las Palmas,34,11,7,16,41,53,−12,29,1981-82
16,Las Palmas,34,7,11,16,32,55,−23,25,1982-83
13,Las Palmas,34,9,9,16,37,65,−28,27,1985-86
14,Las Palmas,34,11,7,16,41,48,−7,29,1986-87
20,Las Palmas,38,12,5,21,43,65,−22,29,1987-88
11,Las Palmas,38,13,7,18,42,62,−20,46,2000-01
18,Las Palmas,38,9,13,16,40,50,−10,40,2001-02
11,Las Palmas,38,12,8,18,45,53,−8,44,2015-16
14,Las Palmas,38,10,9,19,53,74,−21,39,2016-17
19,Las Palmas,38,5,7,26,24,74,−50,22,2017-18
