position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
14,Murcia,30,8,3,19,40,86,−46,19,1950-51
12,Murcia,30,11,4,15,41,54,−13,26,1963-64
13,Murcia,30,5,13,12,28,49,−21,23,1964-65
15,Murcia,34,10,9,15,27,37,−10,29,1973-74
18,Murcia,34,7,9,18,31,66,−35,23,1974-75
16,Murcia,34,8,7,19,35,49,−14,23,1980-81
11,Murcia,34,10,12,12,42,38,+4,32,1983-84
18,Murcia,34,6,10,18,24,52,−28,22,1984-85
11,Murcia,34,13,6,15,31,43,−12,32,1986-87
17,Murcia,38,9,13,16,31,42,−11,31,1987-88
19,Murcia,38,9,6,23,27,58,−31,24,1988-89
20,Murcia,38,5,11,22,29,57,−28,26,2003-04
19,Murcia,38,7,9,22,36,65,−29,30,2007-08
