position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
13,Osasuna,30,12,4,14,46,54,−8,28,1953-54
6,Osasuna,30,12,7,11,40,38,+2,31,1956-57
5,Osasuna,30,15,5,10,53,43,+10,35,1957-58
8,Osasuna,30,12,4,14,44,59,−15,28,1958-59
16,Osasuna,30,5,3,22,24,77,−53,13,1959-60
11,Osasuna,30,11,5,14,30,47,−17,27,1961-62
15,Osasuna,30,9,6,15,39,50,−11,24,1962-63
11,Osasuna,34,12,8,14,35,46,−11,32,1980-81
10,Osasuna,34,14,6,14,45,45,0,34,1981-82
14,Osasuna,34,10,6,18,39,54,−15,26,1982-83
15,Osasuna,34,11,6,17,30,44,−14,28,1983-84
6,Osasuna,34,13,8,13,38,38,0,34,1984-85
14,Osasuna,34,9,9,16,24,33,−9,27,1985-86
15,Osasuna,34,8,11,15,24,40,−16,27,1986-87
5,Osasuna,38,15,10,13,40,34,+6,40,1987-88
10,Osasuna,38,13,11,14,39,43,−4,37,1988-89
8,Osasuna,38,14,12,12,42,42,0,40,1989-90
4,Osasuna,38,15,15,8,43,34,+9,45,1990-91
15,Osasuna,38,10,13,15,30,40,−10,33,1991-92
10,Osasuna,38,12,10,16,42,41,+1,34,1992-93
20,Osasuna,38,8,10,20,34,63,−29,26,1993-94
15,Osasuna,38,10,12,16,43,54,−11,42,2000-01
17,Osasuna,38,10,12,16,36,49,−13,42,2001-02
11,Osasuna,38,12,11,15,40,48,−8,47,2002-03
13,Osasuna,38,11,15,12,38,37,+1,48,2003-04
15,Osasuna,38,12,10,16,46,65,−19,46,2004-05
4,Osasuna,38,21,5,12,49,43,+6,68,2005-06
14,Osasuna,38,13,7,18,51,49,+2,46,2006-07
17,Osasuna,38,12,7,19,37,44,−7,43,2007-08
15,Osasuna,38,10,13,15,41,47,−6,43,2008-09
12,Osasuna,38,11,10,17,37,46,−9,43,2009-10
9,Osasuna,38,13,8,17,45,46,−1,47,2010-11
7,Osasuna,38,13,15,10,44,61,−17,54,2011-12
16,Osasuna,38,10,9,19,33,50,−17,39,2012-13
18,Osasuna,38,10,9,19,32,62,−30,39,2013-14
19,Osasuna,38,4,10,24,40,94,−54,22,2016-17
10,Osasuna,38,13,13,12,46,54,−8,52,2019-20
11,Osasuna,38,11,11,16,37,48,−11,44,2020-21
10,Osasuna,38,12,11,15,37,51,−14,47,2021-22
