position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
18,Racing Santander,34,9,6,19,29,52,−23,24,1973-74
12,Racing Santander,34,14,4,16,45,56,−11,32,1975-76
15,Racing Santander,34,12,7,15,41,62,−21,31,1976-77
13,Racing Santander,34,11,9,14,29,45,−16,31,1977-78
17,Racing Santander,34,9,4,21,37,63,−26,22,1978-79
12,Racing Santander,34,12,8,14,41,52,−11,32,1981-82
18,Racing Santander,34,9,5,20,44,63,−19,23,1982-83
11,Racing Santander,34,10,12,12,27,34,−7,32,1984-85
12,Racing Santander,34,10,11,13,33,34,−1,31,1985-86
16,Racing Santander,34,9,8,17,31,49,−18,26,1986-87
8,Racing Santander,38,15,8,15,44,42,+2,38,1993-94
12,Racing Santander,38,13,10,15,42,47,−5,36,1994-95
17,Racing Santander,42,11,14,17,47,69,−22,47,1995-96
13,Racing Santander,42,11,17,14,52,54,−2,50,1996-97
14,Racing Santander,38,12,9,17,46,55,−9,45,1997-98
15,Racing Santander,38,10,12,16,41,53,−12,42,1998-99
15,Racing Santander,38,10,16,12,52,50,+2,46,1999-2000
19,Racing Santander,38,10,9,19,48,62,−14,39,2000-01
16,Racing Santander,38,13,5,20,54,64,−10,44,2002-03
17,Racing Santander,38,11,10,17,48,63,-15,42,2003-04
16,Racing Santander,38,12,8,18,41,58,−17,44,2004-05
17,Racing Santander,38,9,13,16,36,49,−13,40,2005-06
10,Racing Santander,38,12,14,12,42,48,−6,50,2006-07
6,Racing Santander,38,17,9,12,42,41,+1,60,2007-08
12,Racing Santander,38,12,10,16,49,48,+1,46,2008-09
16,Racing Santander,38,9,12,17,42,59,−17,39,2009-10
12,Racing Santander,38,12,10,16,41,56,−15,46,2010-11
20,Racing Santander,38,4,15,19,28,63,−35,27,2011-12
