position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
10,Rayo Vallecano,34,12,9,13,50,59,−9,33,1977-78
15,Rayo Vallecano,34,9,11,14,31,54,−23,29,1978-79
16,Rayo Vallecano,34,9,8,17,46,61,−15,26,1979-80
20,Rayo Vallecano,38,6,7,25,32,75,−43,19,1989-90
14,Rayo Vallecano,38,8,17,13,40,49,−9,33,1992-93
17,Rayo Vallecano,38,9,13,16,40,58,−18,31,1993-94
19,Rayo Vallecano,42,12,8,22,47,75,−28,44,1995-96
18,Rayo Vallecano,42,13,6,23,43,62,−19,45,1996-97
9,Rayo Vallecano,38,15,7,16,51,53,−2,52,1999-2000
14,Rayo Vallecano,38,10,13,15,56,68,−12,43,2000-01
11,Rayo Vallecano,38,13,10,15,46,52,−6,49,2001-02
20,Rayo Vallecano,38,7,11,20,31,62,−31,32,2002-03
15,Rayo Vallecano,38,13,4,21,53,73,−20,43,2011-12
8,Rayo Vallecano,38,16,5,17,50,66,−16,53,2012-13
12,Rayo Vallecano,38,13,4,21,46,80,−34,43,2013-14
11,Rayo Vallecano,38,15,4,19,46,68,−22,49,2014-15
18,Rayo Vallecano,38,9,11,18,52,73,−21,38,2015-16
20,Rayo Vallecano,38,8,8,22,41,70,−29,32,2018-19
12,Rayo Vallecano,38,11,9,18,39,50,−11,42,2021-22
