position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
9,Real Madrid,30.0,13,5,12,80,71,9,31,1950-51
3,Real Madrid,30.0,16,6,8,79,50,29,38,1951-52
3,Real Madrid,30.0,18,3,9,67,49,18,39,1952-53
1,Real Madrid,30.0,17,6,7,72,41,31,40,1953-54
1,Real Madrid,30.0,20,6,4,80,31,49,46,1954-55
3,Real Madrid,30.0,18,2,10,81,39,42,38,1955-56
1,Real Madrid,30.0,20,4,6,74,35,39,44,1956-57
1,Real Madrid,30.0,20,5,5,71,26,45,45,1957-58
2,Real Madrid,30.0,21,5,4,89,29,60,47,1958-59
2,Real Madrid,30.0,21,4,5,92,36,56,46,1959-60
1,Real Madrid,30.0,24,4,2,89,25,64,52,1960-61
1,Real Madrid,30.0,19,5,6,58,24,34,43,1961-62
1,Real Madrid,30.0,23,3,4,83,33,50,49,1962-63
1,Real Madrid,30.0,22,2,6,61,23,38,46,1963-64
1,Real Madrid,30.0,21,5,4,64,18,46,47,1964-65
2,Real Madrid,30.0,19,5,6,53,30,23,43,1965-66
1,Real Madrid,30.0,19,9,2,58,22,36,47,1966-67
1,Real Madrid,30.0,16,10,4,55,26,29,42,1967-68
1,Real Madrid,30.0,18,11,1,46,21,25,47,1968-69
6,Real Madrid,30.0,13,9,8,50,42,8,35,1969-70
4,Real Madrid,30.0,17,7,6,46,24,22,41,1970-71
1,Real Madrid,34.0,19,9,6,51,27,24,47,1971-72
4,Real Madrid,34.0,17,9,8,45,29,16,43,1972-73
8,Real Madrid,34.0,13,8,13,48,38,10,34,1973-74
1,Real Madrid,34.0,20,10,4,66,34,32,50,1974-75
1,Real Madrid,34.0,20,8,6,54,26,28,48,1975-76
9,Real Madrid,34.0,12,10,12,57,53,4,34,1976-77
1,Real Madrid,34.0,22,3,9,77,40,37,47,1977-78
1,Real Madrid,34.0,16,15,3,61,36,25,47,1978-79
1,Real Madrid,34.0,22,9,3,70,33,37,53,1979-80
2,Real Madrid,34.0,20,5,9,66,37,29,45,1980-81
3,Real Madrid,34.0,18,8,8,57,34,23,44,1981-82
2,Real Madrid,34.0,20,9,5,57,25,32,49,1982-83
2,Real Madrid,34.0,22,5,7,59,37,22,49,1983-84
5,Real Madrid,34.0,13,10,11,46,36,10,36,1984-85
1,Real Madrid,34.0,26,4,4,83,33,50,56,1985-86
1,Real Madrid,38.0,28,6,4,95,26,69,62,1987-88
1,Real Madrid,38.0,25,12,1,91,37,54,62,1988-89
1,Real Madrid,38.0,26,10,2,107,38,69,62,1989-90
3,Real Madrid,38.0,20,6,12,63,37,26,46,1990-91
2,Real Madrid,38.0,23,8,7,78,32,46,54,1991-92
2,Real Madrid,38.0,24,9,5,75,28,47,57,1992-93
4,Real Madrid,38.0,19,7,12,61,50,11,45,1993-94
1,Real Madrid,38.0,23,9,6,76,29,47,55,1994-95
6,Real Madrid,42.0,20,10,12,75,51,24,70,1995-96
1,Real Madrid,42.0,27,11,4,85,36,49,92,1996-97
4,Real Madrid,38.0,17,12,9,63,45,18,63,1997-98
2,Real Madrid,38.0,21,5,12,77,62,15,68,1998-99
5,Real Madrid,38.0,16,14,8,58,48,10,62,1999-2000
1,Real Madrid,38.0,24,8,6,81,40,41,80,2000-01
3,Real Madrid,,[a],38,19,9,10,69,44,2001-02
1,Real Madrid,38.0,22,12,4,86,42,44,78,2002-03
4,Real Madrid,38.0,21,7,10,72,54,18,70,2003-04
2,Real Madrid,38.0,25,5,8,71,32,39,80,2004-05
2,Real Madrid,38.0,20,10,8,70,40,30,70,2005-06
1,Real Madrid,38.0,23,7,8,66,40,26,76,2006-07
1,Real Madrid,38.0,27,4,7,84,36,48,85,2007-08
2,Real Madrid,38.0,25,3,10,83,52,31,78,2008-09
2,Real Madrid,38.0,31,3,4,102,35,67,96,2009-10
2,Real Madrid,38.0,29,5,4,102,33,69,92,2010-11
1,Real Madrid,38.0,32,4,2,121,32,89,100,2011-12
2,Real Madrid,38.0,26,7,5,103,42,61,85,2012-13
3,Real Madrid,38.0,27,6,5,104,38,66,87,2013-14
2,Real Madrid,38.0,30,2,6,118,38,80,92,2014-15
2,Real Madrid,38.0,28,6,4,110,34,76,90,2015-16
1,Real Madrid,38.0,29,6,3,106,41,65,93,2016-17
3,Real Madrid,38.0,22,10,6,94,44,50,76,2017-18
3,Real Madrid,38.0,21,5,12,63,46,17,68,2018-19
1,Real Madrid,38.0,26,9,3,70,25,45,87,2019-20
2,Real Madrid,38.0,25,9,4,67,28,39,84,2020-21
1,Real Madrid,38.0,26,8,4,80,31,49,86,2021-22
