position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
5,Real Sociedad,30.0,15,5,10,77,56,+21,35,1950-51
10,Real Sociedad,30.0,11,4,15,60,59,+1,26,1951-52
10,Real Sociedad,30.0,10,8,12,54,61,−7,28,1952-53
9,Real Sociedad,30.0,11,7,12,44,58,−14,29,1953-54
14,Real Sociedad,30.0,9,6,15,48,53,−5,24,1954-55
8,Real Sociedad,30.0,11,8,11,48,53,−5,30,1955-56
12,Real Sociedad,30.0,9,8,13,39,47,−8,26,1956-57
9,Real Sociedad,30.0,10,7,13,38,44,−6,27,1957-58
10,Real Sociedad,30.0,9,10,11,32,33,−1,28,1958-59
14,Real Sociedad,30.0,10,3,17,41,61,−20,23,1959-60
8,Real Sociedad,30.0,10,10,10,37,46,−9,30,1960-61
15,Real Sociedad,30.0,9,5,16,37,49,−12,23,1961-62
14,Real Sociedad,30.0,9,6,15,38,43,−5,24,1967-68
7,Real Sociedad,30.0,10,9,11,36,33,+3,29,1968-69
7,Real Sociedad,30.0,15,3,12,47,37,+10,33,1969-70
8,Real Sociedad,30.0,10,9,11,23,27,−4,29,1970-71
8,Real Sociedad,34.0,14,6,14,38,36,+2,34,1971-72
7,Real Sociedad,34.0,13,8,13,37,39,−2,34,1972-73
4,Real Sociedad,34.0,15,8,11,46,45,+1,38,1973-74
4,Real Sociedad,34.0,12,12,10,37,32,+5,36,1974-75
8,Real Sociedad,34.0,12,10,12,45,45,0,34,1975-76
8,Real Sociedad,34.0,13,8,13,54,41,+13,34,1976-77
11,Real Sociedad,34.0,12,9,13,52,46,+6,33,1977-78
4,Real Sociedad,34.0,18,5,11,53,36,+17,41,1978-79
2,Real Sociedad,34.0,19,14,1,54,20,+34,52,1979-80
1,Real Sociedad,34.0,19,7,8,52,29,+23,45,1980-81
1,Real Sociedad,34.0,20,7,7,58,33,+25,47,1981-82
7,Real Sociedad,34.0,12,12,10,29,27,+2,36,1982-83
6,Real Sociedad,34.0,14,9,11,43,35,+8,37,1983-84
7,Real Sociedad,34.0,11,12,11,41,33,+8,34,1984-85
7,Real Sociedad,34.0,17,5,12,64,51,+13,39,1985-86
2,Real Sociedad,38.0,22,7,9,61,33,+28,51,1987-88
11,Real Sociedad,38.0,11,14,13,38,47,−9,36,1988-89
5,Real Sociedad,38.0,15,14,9,43,35,+8,44,1989-90
13,Real Sociedad,38.0,11,14,13,39,45,−6,36,1990-91
5,Real Sociedad,38.0,16,12,10,44,38,+6,44,1991-92
13,Real Sociedad,38.0,13,8,17,46,59,−13,34,1992-93
11,Real Sociedad,38.0,12,12,14,39,47,−8,36,1993-94
11,Real Sociedad,38.0,12,14,12,56,44,+12,38,1994-95
7,Real Sociedad,42.0,17,12,13,62,53,+9,63,1995-96
8,Real Sociedad,42.0,18,9,15,50,47,+3,63,1996-97
3,Real Sociedad,38.0,16,15,7,60,37,+23,63,1997-98
10,Real Sociedad,38.0,14,12,12,47,43,+4,54,1998-99
13,Real Sociedad,38.0,11,14,13,42,49,−7,47,1999-2000
13,Real Sociedad,38.0,11,10,17,52,68,−16,43,2000-01
13,Real Sociedad,38.0,13,8,17,48,54,−6,47,2001-02
2,Real Sociedad,38.0,22,10,6,71,45,+26,76,2002-03
15,Real Sociedad,38.0,11,13,14,49,53,−4,46,2003-04
14,Real Sociedad,38.0,13,8,17,47,56,−9,47,2004-05
16,Real Sociedad,38.0,11,7,20,48,65,−17,40,2005-06
19,Real Sociedad,38.0,8,11,19,32,47,−15,35,2006-07
15,Real Sociedad,38.0,14,3,21,49,66,−17,45,2010-11
12,Real Sociedad,38.0,12,11,15,46,52,−6,47,2011-12
4,Real Sociedad,38.0,18,12,8,70,49,+21,66,2012-13
7,Real Sociedad,38.0,16,11,11,62,55,+7,59,2013-14
12,Real Sociedad,38.0,11,13,14,44,51,−7,46,2014-15
9,Real Sociedad,38.0,13,9,16,45,48,−3,48,2015-16
6,Real Sociedad,38.0,19,7,12,59,53,+6,64,2016-17
12,Real Sociedad,38.0,14,7,17,66,59,+7,49,2017-18
9,Real Sociedad,38.0,13,11,14,45,46,−1,50,2018-19
6,Real Sociedad,38.0,16,8,14,56,48,+8,56,2019-20
5,Real Sociedad,38.0,17,11,10,59,38,+21,62,2020-21
6,Real Sociedad,38.0,17,11,10,40,37,+3,62,2021-22
