position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
7,Salamanca,34,10,15,9,33,29,+4,35,1974-75
9,Salamanca,34,12,10,12,31,33,−2,34,1975-76
12,Salamanca,34,13,6,15,30,34,−4,32,1976-77
9,Salamanca,34,14,6,14,37,40,−3,34,1977-78
10,Salamanca,34,13,8,13,36,40,−4,34,1978-79
9,Salamanca,34,13,8,13,37,37,0,34,1979-80
17,Salamanca,34,7,7,20,32,67,−35,21,1980-81
13,Salamanca,34,10,8,16,31,48,−17,28,1982-83
18,Salamanca,34,5,10,19,30,59,−29,20,1983-84
22,Salamanca,42,8,9,25,53,82,−29,33,1995-96
15,Salamanca,38,12,9,17,46,46,0,45,1997-98
20,Salamanca,38,7,6,25,29,66,−37,27,1998-99
