position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
2,Sevilla,30,17,4,9,79,46,+33,38,1950-51
6,Sevilla,30,14,4,12,69,57,+12,32,1951-52
5,Sevilla,30,16,2,12,70,57,+13,34,1952-53
5,Sevilla,30,15,2,13,57,49,+8,32,1953-54
4,Sevilla,30,15,4,11,74,58,+16,34,1954-55
4,Sevilla,30,17,2,11,75,44,+31,36,1955-56
2,Sevilla,30,17,5,8,64,49,+15,39,1956-57
10,Sevilla,30,9,7,14,45,55,−10,25,1957-58
12,Sevilla,30,12,2,16,44,58,−14,26,1958-59
4,Sevilla,30,16,4,10,63,44,+19,36,1959-60
11,Sevilla,30,9,9,12,42,46,−4,27,1960-61
6,Sevilla,30,12,7,11,48,45,+3,31,1961-62
11,Sevilla,30,11,5,14,40,55,−15,27,1962-63
9,Sevilla,30,9,11,10,33,38,−5,29,1963-64
10,Sevilla,30,11,4,15,38,50,−12,26,1964-65
8,Sevilla,30,9,9,12,27,38,−11,27,1965-66
13,Sevilla,30,9,7,14,28,47,−19,25,1966-67
16,Sevilla,30,6,8,16,31,56,−25,20,1967-68
3,Sevilla,30,14,7,9,39,32,+7,35,1969-70
7,Sevilla,30,13,6,11,34,42,−8,32,1970-71
16,Sevilla,34,9,9,16,35,45,−10,27,1971-72
11,Sevilla,34,13,6,15,35,39,−4,32,1975-76
10,Sevilla,34,11,12,11,32,39,−7,34,1976-77
8,Sevilla,34,13,8,13,38,45,−7,34,1977-78
11,Sevilla,34,12,9,13,47,48,−1,33,1978-79
8,Sevilla,34,14,6,14,50,47,+3,34,1979-80
8,Sevilla,34,14,9,11,34,42,−8,37,1980-81
7,Sevilla,34,15,5,14,52,39,+13,35,1981-82
5,Sevilla,34,15,12,7,44,31,+13,42,1982-83
8,Sevilla,34,13,8,13,42,43,−1,34,1983-84
12,Sevilla,34,10,11,13,29,41,−12,31,1984-85
9,Sevilla,34,12,10,12,39,34,+5,34,1985-86
9,Sevilla,34,13,8,13,41,35,+6,34,1986-87
10,Sevilla,38,13,11,14,41,46,−5,37,1987-88
9,Sevilla,38,13,12,13,38,39,−1,38,1988-89
6,Sevilla,38,18,7,13,64,46,+18,43,1989-90
8,Sevilla,38,15,8,15,45,47,−2,38,1990-91
12,Sevilla,38,13,8,17,48,45,+3,34,1991-92
7,Sevilla,38,17,9,12,46,44,+2,43,1992-93
6,Sevilla,38,15,12,11,56,42,+14,42,1993-94
5,Sevilla,38,16,11,11,55,41,14,43,1994-95
12,Sevilla,42,11,15,16,43,55,−12,48,1995-96
20,Sevilla,42,12,7,23,50,69,−19,43,1996-97
20,Sevilla,38,5,13,20,42,67,−25,28,1999-2000
8,Sevilla,38,14,11,13,51,40,+11,53,2001-02
10,Sevilla,38,13,11,14,38,39,−1,50,2002-03
6,Sevilla,38,15,10,13,56,45,+11,55,2003-04
6,Sevilla,38,17,9,12,44,41,+3,60,2004-05
5,Sevilla,38,20,8,10,54,39,+15,68,2005-06
3,Sevilla,38,21,8,9,64,35,+29,71,2006-07
5,Sevilla,38,20,4,14,75,49,+26,64,2007-08
3,Sevilla,38,21,7,10,54,39,+15,70,2008-09
4,Sevilla,38,19,6,13,65,49,+16,63,2009-10
5,Sevilla,38,17,7,14,62,61,+1,58,2010-11
9,Sevilla,38,13,11,14,48,47,+1,50,2011-12
9,Sevilla,38,14,8,16,58,54,+4,50,2012-13
5,Sevilla,38,18,9,11,69,52,+17,63,2013-14
5,Sevilla,38,23,7,8,71,45,+26,76,2014-15
7,Sevilla,38,14,10,14,51,50,+1,52,2015-16
4,Sevilla,38,21,9,8,69,49,+20,72,2016-17
7,Sevilla,38,17,7,14,49,58,−9,58,2017-18
6,Sevilla,38,17,8,13,62,47,+15,59,2018-19
4,Sevilla,38,19,13,6,54,34,+20,70,2019-20
4,Sevilla,38,24,5,9,53,33,+20,77,2020-21
4,Sevilla,38,18,16,4,53,30,+23,70,2021-22
