position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
12,Sporting Gijón,30,10,5,15,35,44,−9,25,1970-71
11,Sporting Gijón,34,12,8,14,41,37,+4,32,1971-72
14,Sporting Gijón,34,11,7,16,32,37,−5,29,1972-73
13,Sporting Gijón,34,13,4,17,49,59,−10,30,1973-74
14,Sporting Gijón,34,11,10,13,40,40,0,32,1974-75
18,Sporting Gijón,34,7,10,17,41,46,−5,24,1975-76
5,Sporting Gijón,34,15,9,10,53,43,+10,39,1977-78
2,Sporting Gijón,34,17,9,8,50,35,+15,43,1978-79
3,Sporting Gijón,34,16,7,11,47,34,+13,39,1979-80
7,Sporting Gijón,34,14,10,10,58,40,+18,38,1980-81
14,Sporting Gijón,34,10,9,15,38,44,−6,29,1981-82
8,Sporting Gijón,34,9,15,10,31,32,−1,33,1982-83
13,Sporting Gijón,34,11,8,15,38,47,−9,30,1983-84
4,Sporting Gijón,34,13,15,6,34,23,+11,41,1984-85
6,Sporting Gijón,34,13,15,6,37,27,+10,41,1985-86
4,Sporting Gijón,34,14,9,11,47,36,+11,37,1986-87
9,Sporting Gijón,38,14,10,14,44,49,−5,38,1987-88
13,Sporting Gijón,38,13,9,16,42,42,0,35,1988-89
13,Sporting Gijón,38,12,10,16,37,34,+3,34,1989-90
5,Sporting Gijón,38,16,12,10,50,37,+13,44,1990-91
8,Sporting Gijón,38,15,8,15,37,43,−6,38,1991-92
12,Sporting Gijón,38,11,12,15,38,57,−19,34,1992-93
14,Sporting Gijón,38,15,5,18,42,57,−15,35,1993-94
18,Sporting Gijón,38,8,12,18,42,67,−25,28,1994-95
18,Sporting Gijón,42,13,7,22,51,60,−9,46,1995-96
15,Sporting Gijón,42,13,11,18,45,63,−18,50,1996-97
20,Sporting Gijón,38,2,7,29,31,80,−49,13,1997-98
14,Sporting Gijón,38,14,1,23,47,79,−32,43,2008-09
15,Sporting Gijón,38,9,13,16,36,51,−15,40,2009-10
10,Sporting Gijón,38,11,14,13,35,42,−7,47,2010-11
19,Sporting Gijón,38,10,7,21,42,69,−27,37,2011-12
17,Sporting Gijón,38,10,9,19,40,62,−22,39,2015-16
18,Sporting Gijón,38,7,10,21,42,72,−30,31,2016-17
