position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
16,Tenerife,30,6,7,17,33,57,−24,19,1961-62
18,Tenerife,38,8,10,20,42,60,−18,26,1989-90
14,Tenerife,38,14,7,17,37,53,−16,35,1990-91
13,Tenerife,38,12,10,16,46,50,−4,34,1991-92
5,Tenerife,38,15,14,9,59,47,+12,44,1992-93
10,Tenerife,38,15,6,17,50,57,−7,36,1993-94
15,Tenerife,38,13,9,16,57,57,0,35,1994-95
5,Tenerife,42,20,12,10,69,54,+15,72,1995-96
9,Tenerife,42,15,11,16,69,57,+12,56,1996-97
16,Tenerife,38,11,12,15,44,57,−13,45,1997-98
19,Tenerife,38,7,13,18,41,63,−22,34,1998-99
19,Tenerife,38,10,8,20,32,58,−26,38,2001-02
19,Tenerife,38,9,9,20,40,74,−34,36,2009-10
