position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
6,Valladolid,30.0,14,5,11,51,51,0,33,1950-51
8,Valladolid,30.0,9,11,10,47,43,+4,29,1951-52
12,Valladolid,30.0,10,5,15,48,54,−6,25,1952-53
12,Valladolid,30.0,12,5,13,50,60,−10,29,1953-54
9,Valladolid,30.0,11,5,14,48,56,−8,27,1954-55
9,Valladolid,30.0,13,4,13,52,55,−3,30,1955-56
8,Valladolid,30.0,11,6,13,52,58,−6,28,1956-57
15,Valladolid,30.0,9,5,16,45,73,−28,23,1957-58
13,Valladolid,30.0,11,3,16,48,61,−13,25,1959-60
15,Valladolid,30.0,11,3,16,39,52,−13,25,1960-61
4,Valladolid,30.0,15,3,12,51,53,−2,33,1962-63
16,Valladolid,30.0,7,5,18,27,58,−31,19,1963-64
12,Valladolid,34.0,9,13,12,40,46,−6,31,1980-81
9,Valladolid,34.0,13,8,13,40,53,−13,34,1981-82
12,Valladolid,34.0,9,11,14,34,51,−17,29,1982-83
14,Valladolid,34.0,11,7,16,44,60,−16,29,1983-84
13,Valladolid,34.0,7,16,11,39,45,−6,30,1984-85
10,Valladolid,34.0,13,6,15,54,48,+6,32,1985-86
8,Valladolid,38.0,13,12,13,31,34,−3,38,1987-88
6,Valladolid,38.0,18,7,13,40,31,+9,43,1988-89
16,Valladolid,38.0,8,14,16,31,41,−10,30,1989-90
9,Valladolid,38.0,12,13,13,38,40,−2,37,1990-91
19,Valladolid,38.0,7,13,18,31,53,−22,27,1991-92
18,Valladolid,38.0,8,14,16,28,51,−23,30,1993-94
19,Valladolid,,[c],38,8,9,21,25,63,1994-95
16,Valladolid,42.0,11,14,17,57,62,−5,47,1995-96
7,Valladolid,42.0,18,10,14,57,46,+11,64,1996-97
11,Valladolid,38.0,13,11,14,36,47,−11,50,1997-98
12,Valladolid,38.0,13,9,16,35,44,−9,48,1998-99
8,Valladolid,38.0,14,11,13,36,44,−8,53,1999-2000
16,Valladolid,38.0,9,15,14,42,50,−8,42,2000-01
12,Valladolid,38.0,13,9,16,45,58,−13,48,2001-02
14,Valladolid,38.0,12,10,16,37,40,−3,46,2002-03
18,Valladolid,38.0,10,11,17,46,56,−10,41,2003-04
15,Valladolid,38.0,11,12,15,42,57,−15,45,2007-08
16,Valladolid,38.0,12,7,19,46,58,−12,43,2008-09
18,Valladolid,38.0,7,15,16,37,62,−25,36,2009-10
14,Valladolid,38.0,11,10,17,49,58,−9,43,2012-13
19,Valladolid,38.0,7,15,16,38,60,−22,36,2013-14
16,Valladolid,38.0,10,11,17,32,51,−19,41,2018-19
13,Valladolid,38.0,9,15,14,32,43,−11,42,2019-20
19,Valladolid,38.0,5,16,17,34,57,−23,31,2020-21
